token_id	text
1	εἰ
2	πάντες
3	ἤθελον
4	οἱ
5	παιδεύειν
6	ἐπιχειροῦντες
7	ἀληθῆ
8	λέγειν
9	,
10	καὶ
11	μὴ
12	μείζους
13	ποιεῖσθαι
14	τὰς
15	ὑποσχέσεις
16	ὧν
17	ἔμελλον
18	ἐπιτελεῖν
19	,
20	οὐκ
21	ἂν
22	κακῶς
23	ἤκουον
24	ὑπὸ
25	τῶν
26	ἰδιωτῶν
27	·
28	νῦν
29	δ’
30	οἱ
31	τολμῶντες
32	λίαν
33	ἀπερισκέπτως
34	ἀλαζονεύεσθαι
35	πεποιήκασιν
36	ὥστε
37	δοκεῖν
38	ἄμεινον
39	βουλεύεσθαι
40	τοὺς
41	ῥᾳθυμεῖν
42	αἱρουμένους
43	τῶν
44	περὶ
45	τὴν
46	φιλοσοφίαν
47	διατριβόντων
48	.
49	τίς
50	γὰρ
51	οὐκ
52	ἃν
53	μισήσειεν
54	ἅμα
55	καὶ
56	καταφρονήσειε
57	πρῶτον
58	μὲν
59	τῶν
60	περὶ
61	τὰς
62	ἔριδας
63	διατριβόντων
64	,
65	οἳ
66	προσποιοῦνται
67	μὲν
68	τὴν
69	ἀλήθειαν
70	ζητεῖν
71	,
72	εὐθὺς
73	δ’
74	ἐν
75	ἀρχῇ
76	τῶν
77	ἐπαγγελμάτων
78	ψευδῆ
79	λέγειν
80	ἐπιχειροῦσιν
81	;
82	οἶμαι
83	γὰρ
84	ἅπασιν
85	εἶναι
86	φανερὸν
87	ὅτι
88	τὰ
89	μέλλοντα
90	προγιγνώσκειν
91	οὐ
92	τῆς
93	ἡμετέρας
94	φύσεώς
95	ἐστιν
96	,
97	ἀλλὰ
98	τοσοῦτον
99	ἀπέχομεν
100	ταύτης
101	τῆς
102	φρονήσεως
103	,
104	ὥσθ’
105	Ὅμηρος
106	ὁ
107	μεγίστην
108	ἐπὶ
109	σοφίᾳ
110	δόξαν
111	εἰληφὼς
112	καὶ
113	τοὺς
114	θεοὺς
115	πεποίηκεν
116	ἔστιν
117	ὅτε
118	βουλευομένους
119	ὑπὲρ
120	αὐτῶν
121	,
122	οὐ
123	τὴν
124	ἐκείνων
125	γνώμην
126	εἰδώς
127	,
128	ἀλλ’
129	ἡμῖν
130	ἐνδείξασθαι
131	βουλόμενος
132	ὅτι
133	τοῖς
134	ἀνθρώποις
135	ἓν
136	τοῦτο
137	τῶν
138	ἀδυνάτων
139	ἐστίν
140	.
141	οὗτοι
142	τοίνυν
143	εἰς
144	τοῦτο
145	τόλμης
146	ἐληλύθασιν
147	,
148	ὥστε
149	πειρῶνται
150	πείθειν
151	τοὺς
152	νεωτέρους
153	ὡς
154	,
155	ἢν
156	αὐτοῖς
157	πλησιάζωσιν
158	,
159	ἅ
160	τε
161	πρακτέον
162	ἐστὶν
163	εἴσονται
164	καὶ
165	διὰ
166	ταύτης
167	τῆς
168	ἐπιστήμης
169	εὐδαίμονες
170	γενήσονται
171	.
172	καὶ
173	τηλικούτων
174	ἀγαθῶν
175	αὑτοὺς
176	διδασκάλους
177	καὶ
178	κυρίους
179	καταστήσαντες
180	,
181	οὐκ
182	αἰσχύνονται
183	τρεῖς
184	ἢ
185	τέτταρας
186	μνᾶς
187	ὑπὲρ
188	τούτων
189	αἰτοῦντες
190	.
191	ἀλλ’
192	εἰ
193	μέν
194	τι
195	τῶν
196	ἄλλων
197	κτημάτων
198	πολλοστοῦ
199	μέρους
200	τῆς
201	ἀξίας
202	ἐπώλουν
203	,
204	οὐκ
205	ἂν
206	ἠμφεσβήτησαν
207	ὡς
208	εὖ
209	φρονοῦντες
210	τυγχάνουσι
211	,
212	σύμπασαν
213	δὲ
214	τὴν
215	ἀρετὴν
216	καὶ
217	τὴν
218	εὐδαιμονίαν
219	οὕτως
220	ὀλίγου
221	τιμῶντες
222	,
223	ὡς
224	νοῦν
225	ἔχοντες
226	διδάσκαλοι
227	τῶν
228	ἄλλων
229	ἀξιοῦσι
230	γίγνεσθαι
231	.
232	καὶ
233	λέγουσι
234	μὲν
235	ὡς
236	οὐδὲν
237	δέονται
238	χρημάτων
239	,
240	ἀργυρίδιον
241	καὶ
242	χρυσίδιον
243	τὸν
244	πλοῦτον
245	ἀποκαλοῦντες
246	,
247	μικροῦ
248	δὲ
249	κέρδους
250	ὀρεγόμενοι
251	μόνον
252	οὐκ
253	ἀθανάτους
254	ὑπισχνοῦνται
255	τοὺς
256	συνόντας
257	ποιήσειν
258	.
259	ὃ
260	δὲ
261	πάντων
262	καταγελαστότατον
263	,
264	ὅτι
265	παρὰ
266	μὲν
267	ὧν
268	δεῖ
269	λαβεῖν
270	αὐτούς
271	,
272	τούτοις
273	μὲν
274	ἀπιστοῦσιν
275	,
276	οἷς
277	μέλλουσι
278	τὴν
279	δικαιοσύνην
280	παραδώσειν
281	,
282	ὧν
283	δ’
284	οὐδεπώποτε
285	διδάσκαλοι
286	γεγόνασι
287	,
288	παρὰ
289	τούτοις
290	τὰ
291	παρὰ
292	τῶν
293	μαθητῶν
294	μεσεγγυοῦνται
295	,
296	πρὸς
297	μὲν
298	τὴν
299	ἀσφάλειαν
300	εὖ
301	βουλευόμενοι
302	,
303	τῷ
304	δ’
305	ἐπαγγέλματι
306	τ
307	ἀναντία
308	πράττοντες
309	.
310	τοὺς
311	μὲν
312	γὰρ
313	ἄλλο
314	τι
315	παιδεύοντας
316	προσήκει
317	διακριβοῦσθαι
318	περὶ
319	τῶν
320	διαφερόντων
321	,
322	οὐδὲν
323	γὰρ
324	κωλύει
325	τοὺς
326	περὶ
327	ἕτερα
328	δεινοὺς
329	γενομένους
330	μὴ
331	χρηστοὺς
332	εἶναι
333	περὶ
334	τὰ
335	συμβόλαια
336	·
337	τοὺς
338	δὲ
339	τὴν
340	ἀρετὴν
341	καὶ
342	τὴν
343	σωφροσύνην
344	ἐνεργαζομένους
345	πῶς
346	οὐκ
347	ἄλογόν
348	ἐστι
349	μὴ
350	τοῖς
351	μαθηταῖς
352	μάλιστα
353	πιστεύειν
354	;
355	οὐ
356	γὰρ
357	δή
358	που
359	περὶ
360	τοὺς
361	ἄλλους
362	ὄντες
363	καλοὶ
364	κ
365	ἀγαθοὶ
366	καὶ
367	δίκαιοι
368	περὶ
369	τούτους
370	ἐξαμαρτήσονται
371	,
372	δι’
373	οὓς
374	τοιοῦτοι
375	γεγόνασιν
376	.
377	ἐπειδὰν
378	οὖν
379	τῶν
380	ἰδιωτῶν
381	τινες
382	,
383	ἅπαντα
384	ταῦτα
385	συλλογισάμενοι
386	,
387	κατίδωσι
388	τοὺς
389	τὴν
390	σοφίαν
391	διδάσκοντας
392	καὶ
393	τὴν
394	εὐδαιμονίαν
395	παραδιδόντας
396	αὐτούς
397	τε
398	πολλῶν
399	δεομένους
400	καὶ
401	τοὺς
402	μαθητὰς
403	μικρὸν
404	πραττομένους
405	,
406	καὶ
407	τὰς
408	ἐναντιώσεις
409	ἐπὶ
410	μὲν
411	τῶν
412	λόγων
413	τηροῦντας
414	,
415	ἐπὶ
416	δὲ
417	τῶν
418	ἔργων
419	μὴ
420	καθορῶντας
421	,
422	ἔτι
423	δὲ
424	περὶ
425	μὲν
426	τῶν
427	μελλόντων
428	εἰδέναι
429	προσποιουμένους
430	,
431	περὶ
432	δὲ
433	τῶν
434	παρόντων
435	μηδὲν
436	τῶν
437	δεόντων
438	μήτ’
439	εἰπεῖν
440	μή
441	τε
442	συμβουλεῦσαι
443	δυναμένους
444	,
445	ἀλλὰ
446	μᾶλλον
447	ὁμονοοῦντας
448	καὶ
449	πλείω
450	κατορθοῦντας
451	τοὺς
452	ταῖς
453	δόξαις
454	χρωμένους
455	ἢ
456	τοὺς
457	τὴν
458	ἐπιστήμην
459	ἔχειν
460	ἐπαγγελλομένους
461	,
462	εἰκότως
463	οἶμαι
464	καταφρονοῦσι
465	,
466	καὶ
467	νομίζουσιν
468	ἀδολεσχίαν
469	καὶ
470	μικρολογίαν
471	ἀλλ’
472	οὐ
473	τῆς
474	ψυχῆς
475	ἐπιμέλειαν
476	εἶναι
477	τὰς
478	τοιαύτας
479	διατριβάς
480	.
481	οὐ
482	μόνον
483	δὲ
484	τούτοις
485	ἀλλὰ
486	καὶ
487	τοῖς
488	τοὺς
489	πολιτικοὺς
490	λόγους
491	ὑπισχνουμένοις
492	ἄξιον
493	ἐπιτιμῆσαι
494	καὶ
495	γὰρ
496	ἐκεῖνοι
497	τῆς
498	μὲν
499	ἀληθείας
500	οὐδὲν
501	φροντίζουσιν
502	,
503	ἡγοῦνται
504	δὲ
505	τοῦτ’
506	εἶναι
507	τὴν
508	τέχνην
509	,
510	ἢν
511	ὡς
512	πλείστους
513	τῇ
514	μικρότητι
515	τῶν
516	μισθῶν
517	καὶ
518	τῷ
519	μεγέθει
520	τῶν
521	ἐπαγγελμάτων
522	προσαγάγωνται
523	καὶ
524	λαβεῖν
525	τι
526	παρ’
527	αὐτῶν
528	δυνηθῶσιν
529	·
530	οὕτω
531	δ’
532	ἀναισθήτως
533	αὐτοί
534	τε
535	διάκεινται
536	καὶ
537	τοὺς
538	ἄλλους
539	ἔχειν
540	ὑπειλήφασιν
541	,
542	ὥστε
543	χεῖρον
544	γράφοντες
545	τοὺς
546	λόγους
547	ἢ
548	τῶν
549	ἰδιωτῶν
550	τινες
551	αὐτοσχεδιάζουσιν
552	,
553	ὅμως
554	ὑπισχνοῦνται
555	τοιούτους
556	ῥήτορας
557	τοὺς
558	συνόντας
559	ποιήσειν
560	ὥστε
561	μηδὲν
562	τῶν
563	ἐνόντων
564	ἐν
565	τοῖς
566	πράγμασι
567	παραλιπεῖν
568	.
569	καὶ
570	ταύτης
571	τῆς
572	δυνάμεως
573	οὐδὲν
574	οὔ
575	τε
576	ταῖς
577	ἐμπειρίαις
578	οὔ
579	τε
580	τῇ
581	φύσει
