token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
2676	ἄν	g--------		ἄν		g--------	glaux_only
2677	ἐθέλω	v3ppoa---		ἐθέλω		v3ppoa---	glaux_only
2678	λέγω	v--pna---		λέγω		v--pna---	glaux_only
2679	,	u--------		,		u--------	glaux_only
2680	ὅτι	c--------		ὅτι		c--------	glaux_only
2681	κατάδηλος	a-p---mn-		κατάδηλος		a-p---mn-	glaux_only
2682	γίγνομαι	v3ppim---		γίγνομαι		v3ppim---	glaux_only
2683	προσποιέω	v-pppmmn-		προσποιέω		v-pppmmn-	glaux_only
2684	μέν	g--------		μέν		g--------	glaux_only
2685	οἶδα	v--rna---		οἶδα		v--rna---	glaux_only
2686	,	u--------		,		u--------	glaux_only
2687	οἶδα	v-prpamn-		οἶδα		v-prpamn-	glaux_only
2688	δέ	b--------		δέ		b--------	glaux_only
2689	οὐδείς	p-s---na-		οὐδείς		p-s---na-	glaux_only
2690	.	u--------	.	.	u--------	u--------	
2691	ἅτε	g--------		ἅτε		g--------	glaux_only
2692	οὖν	g--------		οὖν		g--------	glaux_only
2693	οἴομαι	v1spim---		οἴομαι		v1spim---	glaux_only
2694	φιλότιμος	a-p---mn-		φιλότιμος		a-p---mn-	glaux_only
2695	εἰμί	v-pppamn-		εἰμί		v-pppamn-	glaux_only
2696	καί	b--------		καί		b--------	glaux_only
2697	σφοδρός	a-p---mn-		σφοδρός		a-p---mn-	glaux_only
2698	καί	b--------		καί		b--------	glaux_only
2699	πολύς	a-p---mn-		πολύς		a-p---mn-	glaux_only
2700	,	u--------		,		u--------	glaux_only
2701	καί	b--------		καί		b--------	glaux_only
2702	συντεταμένως	d--------		συντεταμένως		d--------	glaux_only
2703	καί	b--------		καί		b--------	glaux_only
2704	πιθανός	d--------		πιθανός		d--------	glaux_only
2705	λέγω	v-pppamn-		λέγω		v-pppamn-	glaux_only
2706	περί	r--------		περί		r--------	glaux_only
2707	ἐγώ	p1s---cg-		ἐγώ		p1s---cg-	glaux_only
2708	,	u--------		,		u--------	glaux_only
2709	ἐμπίμπλημι	v3pria---		ἐμπίμπλημι		v3pria---	glaux_only
2710	σύ	p2p---cg-		σύ		p2p---cg-	glaux_only
2711	ὁ	l-p---na-		ὁ		l-p---na-	glaux_only
2712	οὖς	n-p---na-		οὖς		n-p---na-	glaux_only
2713	καί	b--------		καί		b--------	glaux_only
2714	πάλαι	d--------		πάλαι		d--------	glaux_only
2715	καί	b--------	καί	καί	c--------	b--------	
2716	σφοδρός	d--------		σφοδρός		d--------	glaux_only
2717	διαβάλλω	v-pppamn-		διαβάλλω		v-pppamn-	glaux_only
2718	.	u--------		.		u--------	glaux_only
2719	ἐκ	r--------		ἐκ		r--------	glaux_only
2720	οὗτος	p-p---ng-		οὗτος		p-p---ng-	glaux_only
2721	καί	d--------		καί		d--------	glaux_only
2722	Μέλητος	n-s---mn-		Μέλητος		n-s---mn-	glaux_only
2723	ἐγώ	p1s---cd-		ἐγώ		p1s---cd-	glaux_only
2724	ἐπιτίθημι	v3saim---		ἐπιτίθημι		v3saim---	glaux_only
2725	καί	d--------		καί		d--------	glaux_only
2726	Ἄνυτος	n-s---mn-		Ἄνυτος		n-s---mn-	glaux_only
2727	καί	b--------		καί		b--------	glaux_only
2728	Λύκων	n-s---mn-		Λύκων		n-s---mn-	glaux_only
2729	,	u--------		,		u--------	glaux_only
2730	Μέλητος	n-s---mn-		Μέλητος		n-s---mn-	glaux_only
2731	μέν	g--------		μέν		g--------	glaux_only
2732	ὑπέρ	r--------		ὑπέρ		r--------	glaux_only
2733	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2734	ποιητής	n-p---mg-		ποιητής		n-p---mg-	glaux_only
2735	ἄχθομαι	v-sppmmn-		ἄχθομαι		v-sppmmn-	glaux_only
2736	,	u--------	,	,	u--------	u--------	
2737	Ἄνυτος	n-s---mn-		Ἄνυτος		n-s---mn-	glaux_only
2738	δέ	b--------	δέ	δέ	d--------	b--------	
2739	ὑπέρ	r--------		ὑπέρ		r--------	glaux_only
2740	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2741	δημιουργός	n-p---mg-		δημιουργός		n-p---mg-	glaux_only
2742	καί	b--------	καί	καί	c--------	b--------	
2743	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2744	πολιτικός	a-p---mg-		πολιτικός		a-p---mg-	glaux_only
2745	,	u--------		,		u--------	glaux_only
2746	Λύκος	n-p---mg-		Λύκος		n-p---mg-	glaux_only
2747	δέ	b--------	δέ	δέ	c--------	b--------	
2748	ὑπέρ	r--------		ὑπέρ		r--------	glaux_only
2749	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2750	ῥήτωρ	n-p---mg-		ῥήτωρ		n-p---mg-	glaux_only
2751	·	u--------		·		u--------	glaux_only
2752	ὥστε	g--------		ὥστε		g--------	glaux_only
2753	,	u--------		,		u--------	glaux_only
2754	ὅς	p-s---na-		ὅς		p-s---na-	glaux_only
2755	ἄρχω	v-sppmmn-		ἄρχω		v-sppmmn-	glaux_only
2756	ἐγώ	p1s---cn-		ἐγώ		p1s---cn-	glaux_only
2757	λέγω	v1siia---		λέγω		v1siia---	glaux_only
2758	,	u--------		,		u--------	glaux_only
2759	θαυμάζω	v1spoa---		θαυμάζω		v1spoa---	glaux_only
2760	ἄν	g--------		ἄν		g--------	glaux_only
2761	εἰ	c--------		εἰ		c--------	glaux_only
2762	οἷος	p-s---mn-		οἷος		p-s---mn-	glaux_only
2763	τε	d--------		τε		d--------	glaux_only
2764	εἰμί	v1spoa---		εἰμί		v1spoa---	glaux_only
2765	ἐγώ	p1s---cn-		ἐγώ		p1s---cn-	glaux_only
2766	σύ	p2p---cg-		σύ		p2p---cg-	glaux_only
2767	οὗτος	p-s---fa-		οὗτος		p-s---fa-	glaux_only
2768	ὁ	l-s---fa-		ὁ		l-s---fa-	glaux_only
2769	διαβολή	n-s---fa-		διαβολή		n-s---fa-	glaux_only
2770	ἐξαιρέω	v--anm---		ἐξαιρέω		v--anm---	glaux_only
2771	ἐν	r--------		ἐν		r--------	glaux_only
2772	οὕτως	d--------		οὕτως		d--------	glaux_only
2773	ὀλίγος	a-s---md-		ὀλίγος		a-s---md-	glaux_only
2774	χρόνος	n-s---md-		χρόνος		n-s---md-	glaux_only
2775	οὕτως	d--------		οὕτως		d--------	glaux_only
2776	πολύς	a-s---fa-		πολύς		a-s---fa-	glaux_only
2777	γίγνομαι	v-srpafa-		γίγνομαι		v-srpafa-	glaux_only
2778	.	u--------		.		u--------	glaux_only
2779	οὗτος	p-p---nn-		οὗτος		p-p---nn-	glaux_only
