token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	σύ	p-p---cd-	σύ	σύ	p-p---md-	p-p---cd-	
2	μέν	g--------	μέν	μέν	d--------	g--------	
3	πολύς	a-s---fa-	πολύς	πολύς	a-s---fa-	a-s---fa-	
4	συγγνώμη	n-s---fa-	συγγνώμη	συγγνώμη	n-s---fa-	n-s---fa-	
5	ἔχω	v1spia---	ἔχω	ἔχω	v1spia---	v1spia---	
6	,	u--------	,	,	u--------	u--------	
7	ὦ	i--------	ὦ	ὦ	i--------	i--------	
8	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
9	δικαστής	n-p---mv-	δικαστής	δικαστής	n-p---mv-	n-p---mv-	
10	,	u--------	,	,	u--------	u--------	
11	ἀκούω	v-pppamd-	ἀκούω	ἀκούω	v-pppamd-	v-pppamd-	
12	τοιοῦτος	p-p---mg-	τοιοῦτος	τοιοῦτος	a-p---mg-	p-p---mg-	
13	λόγος	n-p---mg-	λόγος	λόγος	n-p---mg-	n-p---mg-	
14	καί	c--------	καί	καί	c--------	c--------	
15	ἀναμιμνῄσκω	v-pppmmd-	ἀναμιμνῄσκω	ἀναμιμνῄσκω	v-pppemd-	v-pppmmd-	
16	ὁ	l-p---ng-	ὁ	ὁ	l-p---ng-	l-p---ng-	
17	γίγνομαι	v-prpmng-	γίγνομαι	γίγνομαι	v-prpeng-	v-prpmng-	
18	,	u--------	,	,	u--------	u--------	
19	ὅμοιος	d--------	ὅμοιος	ὅμοιος	d--------	d--------	
20	ἅπας	p-p---md-	ἅπας	ἅπας	a-p---md-	p-p---md-	
21	ὀργίζω	v--pnm---	ὀργίζω	ὀργίζω	v--pne---	v--pnm---	
22	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
23	ἐν	r--------	ἐν	ἐν	r--------	r--------	
24	ἄστυ	n-s---nd-	ἄστυ	ἄστυ	n-s---nd-	n-s---nd-	
25	μένω	v-papamd-	μένω	μένω	v-papamd-	v-papamd-	
26	·	u--------	·	·	u--------	u--------	
27	ὁ	l-p---mg-	ὁ	ὁ	l-p---mg-	l-p---mg-	
28	δέ	c--------	δέ	δέ	d--------	c--------	
29	κατήγορος	a-p---mg-	κατήγορος	κατήγορος	a-p---mg-	a-p---mg-	
30	θαυμάζω	v1spia---	θαυμάζω	θαυμάζω	v1spia---	v1spia---	
31	,	u--------	,	,	u--------	u--------	
32	ὅς	p-p---mn-	ὅς	ὅς	p-p---mn-	p-p---mn-	
33	ἀμελέω	v-pppamn-	ἀμελέω	ἀμελέω	v-pppamn-	v-pppamn-	
34	ὁ	l-p---mg-	ὁ	ὁ	l-p---ng-	l-p---mg-	
35	οἰκεῖος	a-p---mg-	οἰκεῖος	οἰκεῖος	a-p---ng-	a-p---mg-	
36	ὁ	l-p---mg-	ὁ	ὁ	l-p---ng-	l-p---mg-	
37	ἀλλότριος	a-p---mg-	ἀλλότριος	ἀλλότριος	a-p---mg-	a-p---mg-	
38	ἐπιμελέομαι	v3ppim---	ἐπιμελέομαι	ἐπιμελέομαι	v3ppie---	v3ppim---	
39	,	u--------	,	,	u--------	u--------	
40	εἰ	c--------	εἰ	εἰ	c--------	c--------	
41	σαφής	d--------	σαφής	σαφής	d--------	d--------	
42	οἶδα	v-prpamn-	οἶδα	οἶδα	v-prpamn-	v-prpamn-	
43	ὁ	l-p---ma-	ὁ	ὁ	l-p---ma-	l-p---ma-	
44	μή	d--------	μη	μή	d--------	d--------	
45	δέ	d--------	δέ		d--------		oga_only
46	ἀδικέω	v-pppama-	ἀδικέω		v-pppama-		oga_only
47	καί	c--------	καί		c--------		oga_only
48	ὁ	l-p---ma-	ὁ		l-p---ma-		oga_only
49	πολύς	a-p---na-	πολύς		a-p---na-		oga_only
50	ἐξαμαρτάνω	v-prpama-	ἐξαμαρτάνω		v-prpama-		oga_only
51	ζητέω	v3ppia---	ζητέω		v3ppia---		oga_only
52	σύ	p-p---ma-	σύ		p-p---ma-		oga_only
53	πείθω	v--pna---	πείθω		v--pna---		oga_only
54	περί	r--------	περί		r--------		oga_only
55	ἅπας	a-p---mg-	ἅπας		a-p---mg-		oga_only
56	ἐγώ	p-p---mg-	ἐγώ		p-p---mg-		oga_only
57	ὁ	l-s---fa-	ὁ		l-s---fa-		oga_only
58	γνώμη	n-s---fa-	γνώμη		n-s---fa-		oga_only
59	οὗτος	a-s---fa-	οὗτος		a-s---fa-		oga_only
60	ἔχω	v--pna---	ἔχω		v--pna---		oga_only
61	.	u--------	.		u--------		oga_only
62	εἰ	c--------	εἰ	εἰ	c--------	c--------	
63	μέν	g--------	μέν	μέν	d--------	g--------	
64	οὖν	g--------	οὖν	οὖν	d--------	g--------	
65	οἴομαι	v3ppim---	οἴομαι	οἴομαι	v3ppie---	v3ppim---	
66	,	u--------	,	,	u--------	u--------	
67	ὅσος	p-p---nn-	ὅσος	ὅσος	a-p---nn-	p-p---nn-	
68	ὑπό	r--------	ὑπό	ὑπό	r--------	r--------	
69	ὁ	l-p---mg-	ὁ	ὁ	l-p---mg-	l-p---mg-	
70	τριάκοντα	m--------	τριάκοντα	τριάκοντα	a--------	m--------	
71	γίγνομαι	v3srim---	γίγνομαι	γίγνομαι	v3srie---	v3srim---	
72	ὁ	l-s---fd-	ὁ	ὁ	l-s---fd-	l-s---fd-	
73	πόλις	n-s---fd-	πόλις	πόλις	n-s---fd-	n-s---fd-	
74	,	u--------	,	,	u--------	u--------	
75	ἐγώ	p-s---cg-	ἐγώ	ἐγώ	p1s---mg-	p-s---cg-	
76	κατηγορέω	v--rna---	κατηγορέω	κατηγορέω	v--rna---	v--rna---	
77	,	u--------	,	,	u--------	u--------	
78	ἀδύνατος	a-p---ma-	ἀδύνατος	ἀδύνατος	a-p---ma-	a-p---ma-	
79	αὐτός	p-p---ma-	αὐτός	αὐτός	p-p---ma-	p-p---ma-	
80	ἡγέομαι	v1spim---	ἡγέομαι	ἡγέομαι	v1spim---	v1spim---	
