token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	εἰ	c--------	εἰ	εἰ	c--------	c--------	
2	μή	d--------	μή	μή	d--------	d--------	
3	σύνοιδα	v1slia---	σύνοιδα	σύνοιδα	v1slia---	v1slia---	
4	,	u--------	,	,	u--------	u--------	
5	ὦ	i--------	ὦ	ὦ	i--------	i--------	
6	βουλή	n-s---fv-	βουλή	βουλή	n-s---mv-	n-s---fv-	
7	,	u--------	,	,	u--------	u--------	
8	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
9	κατήγορος	a-p---md-	κατήγορος	κατήγορος	a-p---md-	a-p---md-	
10	βούλομαι	v-pppmmd-	βούλομαι	βούλομαι	v-pppemd-	v-pppmmd-	
11	ἐκ	r--------	ἐκ	ἐκ	r--------	r--------	
12	πᾶς	p-s---mg-	πᾶς	πᾶς	a-s---mg-	p-s---mg-	
13	τρόπος	n-s---mg-	τρόπος	τρόπος	n-s---mg-	n-s---mg-	
14	κακός	d--------	κακός	κακός	d--------	d--------	
15	ἐγώ	p-s---ca-	ἐγώ	ἐγώ	p1s---ma-	p-s---ca-	
16	ποιέω	v--pna---	ποιέω	ποιέω	v--pna---	v--pna---	
17	,	u--------	,	,	u--------	u--------	
18	πολύς	a-s---fa-	πολύς	πολύς	a-s---fa-	a-s---fa-	
19	ἄν	g--------	ἄν	ἄν	d--------	g--------	
20	αὐτός	p-p---md-	αὐτός	αὐτός	p-p---md-	p-p---md-	
21	χάρις	n-s---fa-	χάρις	χάρις	n-s---fa-	n-s---fa-	
22	ἔχω	v1siia---	ἔχω	ἔχω	v1siia---	v1siia---	
23	οὗτος	p-s---fg-	οὗτος	οὗτος	a-s---fg-	p-s---fg-	
24	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
25	κατηγορία	n-s---fg-	κατηγορία	κατηγορία	n-s---fg-	n-s---fg-	
26	·	u--------	·	·	u--------	u--------	
27	ἡγέομαι	v1spim---	ἡγέομαι	ἡγέομαι	v1spim---	v1spim---	
28	γάρ	g--------	γάρ	γάρ	d--------	g--------	
29	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
30	ἄδικος	d--------	ἄδικος	ἄδικος	d--------	d--------	
31	διαβάλλω	v-prpmmd-	διαβάλλω	διαβάλλω	v-prpemd-	v-prpmmd-	
32	οὗτος	p-p---ma-	οὗτος	οὗτος	p-p---ma-	p-p---ma-	
33	εἰμί	v--pna---	εἰμί	εἰμί	v--pna---	v--pna---	
34	μέγας	a-p---ngs	μέγας	μέγας	a-p---ngs	a-p---ngs	
35	ἀγαθός	a-p---ng-	ἀγαθός	ἀγαθός	a-p---ng-	a-p---ng-	
36	αἴτιος	a-p---ma-	αἴτιος	αἴτιος	a-p---ma-	a-p---ma-	
37	,	u--------	,	,	u--------	u--------	
38	ὅστις	p-p---mn-	ὅστις	ὅστις	p-p---mn-	p-p---mn-	
39	ἄν	g--------	ἄν	ἄν	d--------	g--------	
40	αὐτός	p-p---ma-	αὐτός	αὐτός	p-p---ma-	p-p---ma-	
41	ἀναγκάζω	v3ppsa---	ἀναγκάζω	ἀναγκάζω	v3ppsa---	v3ppsa---	
42	εἰς	r--------	εἰς	εἰς	r--------	r--------	
43	ἔλεγχος	n-s---ma-	ἔλεγχος2	ἔλεγχος	n-s---ma-	n-s---ma-	
44	ὁ	l-p---ng-	ὁ	ὁ	l-p---ng-	l-p---ng-	
45	αὐτός	p-p---md-	αὐτός	αὐτός	p-p---md-	p-p---md-	
