token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	πολύς	a-p---na-	πολύς	πολύς	a-p---na-	a-p---na-	
2	μέν	g--------	μέν	μέν	d--------	g--------	
3	λέγω	v--pna---	λέγω3	λέγω	v--pna---	v--pna---	
4	,	u--------	,	,	u--------	u--------	
5	ὦ	i--------	ὦ	ὦ	i--------	i--------	
6	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
7	δικαστής	n-p---mv-	δικαστής	δικαστής	n-p---mv-	n-p---mv-	
8	,	u--------	,	,	u--------	u--------	
9	περί	r--------	περί	περί	r--------	r--------	
10	οὗτος	p-s---ng-	οὗτος	οὗτος	a-s---ng-	p-s---ng-	
11	ὁ	l-s---ng-	ὁ	ὁ	l-s---ng-	l-s---ng-	
12	πρᾶγμα	n-s---ng-	πρᾶγμα	πρᾶγμα	n-s---ng-	n-s---ng-	
13							unmatched
14	ἄν	g--------	ἄν	ἄν	d--------	g--------	
15	δύναμαι	v1spom---	δύναμαι	δύναμαι	v1spoe---	v1spom---	
16	οὐ	d--------	οὐ	οὐ	d--------	d--------	
17	τε	c--------	τε		c--------		oga_only
18	ἐγώ	p-s---md-	ἐγώ		p-s---md-		oga_only
19	δοκέω	v3spia---	δοκέω		v3spia---		oga_only
20	δεῖ	v--pna---	δεῖ		v--pna---		oga_only
21	·	u--------	·		u--------		oga_only
22	ὡς	c--------	ὡς	ὡς	c--------	c--------	
23	δέ	b--------	δέ	δέ	d--------	b--------	
24	ὀρθός	d--------	ὀρθός	ὀρθός	d--------	d--------	
25	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
26	δίκη	n-s---fa-	δίκη	δίκη	n-s---fa-	n-s---fa-	
27	λαγχάνω	v1saia---	λαγχάνω	λαγχάνω	v1saia---	v1saia---	
28	οὗτος	p-s---md-	οὗτος	οὗτος	a-s---md-	p-s---md-	
29	Παγκλέων	n-s---md-	πάγκλειος	Παγκλέων	n-s---md-	n-s---md-	DISAGREE
30	οὐ	d--------	οὐ	οὐ	d--------	d--------	
31	εἰμί	v-sppamd-	εἰμί	εἰμί	v-sppamd-	v-sppamd-	
32	Πλαταιεύς	n-s---md-	πλαταιεύς	Πλαταιεύς	n-s---md-	n-s---md-	
33	,	u--------	,	,	u--------	u--------	
34	οὗτος	p-s---na-	οὗτος	οὗτος	p-s---na-	p-s---na-	
35	σύ	p2p---cd-	σύ	σύ	p-p---md-	p2p---cd-	
36	πειράω	v1sfim---	πειράω	πειράω	v1sfim---	v1sfim---	
37	ἀποδείκνυμι	v--ana---	ἀποδείκνυμι	ἀποδείκνυμι	v--ana---	v--ana---	
38	.	u--------	.	.	u--------	u--------	
39	ὡς	c--------	ὡς	ὡς	c--------	c--------	
40	γάρ	g--------	γάρ	γάρ	d--------	g--------	
41	ἀδικέω	v-sppamn-	ἀδικέω	ἀδικέω	v-sppamn-	v-sppamn-	
42	ἐγώ	p1s---ca-	ἐγώ	ἐγώ	p1s---ma-	p1s---ca-	
43	πολύς	a-s---ma-	πολύς	πολύς	a-s---ma-	a-s---ma-	
44	χρόνος	n-s---ma-	χρόνος	χρόνος	n-s---ma-	n-s---ma-	
45	οὐ	d--------	οὐ	οὐ	d--------	d--------	
46	παύω	v3siim---	παύω	παύω	v3siie---	v3siim---	
47	,	u--------	,	,	u--------	u--------	
48	ἔρχομαι	v-sapamn-	ἔρχομαι	ἔρχομαι	v-sapamn-	v-sapamn-	
49	ἐπί	r--------	ἐπί	ἐπί	r--------	r--------	
50	ὁ	l-s---na-	ὁ	ὁ	l-s---na-	l-s---na-	
51	κναφεῖον	n-s---na-	κναφεῖον	κναφεῖον	n-s---na-	n-s---na-	
52	,	u--------	,	,	u--------	u--------	
53	ἐν	r--------	ἐν	ἐν	r--------	r--------	
54	ὅς	p-s---nd-	ὅς	ὅς	p-s---nd-	p-s---nd-	
55	ἐργάζομαι	v3siim---	ἐργάζομαι	ἐργάζομαι	v3siie---	v3siim---	
56	,	u--------	,	,	u--------	u--------	
57	προσκαλέω	v1saim---	προσκαλέω	προσκαλέω	v1saim---	v1saim---	
58	αὐτός	p-s---ma-	αὐτός	αὐτός	p-s---ma-	p-s---ma-	
59	πρός	r--------	πρός	πρός	r--------	r--------	
60	ὁ	l-s---ma-	ὁ	ὁ	l-s---ma-	l-s---ma-	
