token_id	text
1	πολλὰ
2	μὲν
3	λέγειν
4	,
5	ὦ
6	ἄνδρες
7	δικασταί
8	,
9	περὶ
10	τουτουὶ
11	τοῦ
12	πράγματος
13	οὔτ’
14	ἂν
15	δυναίμην
16	οὔ
17	τε
18	μοι
19	δοκεῖ
20	δεῖν
21	·
22	ὡς
23	δὲ
24	ὀρθῶς
25	τὴν
26	δίκην
27	ἔλαχον
28	τουτῳὶ
29	Παγκλέωνι
30	οὐκ
31	ὄντι
32	Πλαταιεῖ
33	,
34	τοῦτο
35	ὑμῖν
36	πειράσομαι
37	ἀποδεῖξαι
38	.
39	ὡς
40	γὰρ
41	ἀδικῶν
42	με
43	πολὺν
44	χρόνον
45	οὐκ
46	ἐπαύετο
47	,
48	ἐλθὼν
49	ἐπὶ
50	τὸ
51	γναφεῖον
52	,
53	ἐν
54	ᾧ
55	εἰργάζετο
56	,
57	προσεκαλεσάμην
58	αὐτὸν
59	πρὸς
60	τὸν
61	πολέμαρχον
62	,
63	νομίζων
64	μέτοικον
65	εἶναι
66	.
67	εἰπόντος
68	δὲ
69	τούτου
70	ὅτι
71	Πλαταιεὺς
72	εἴη
73	,
74	ἠρόμην
75	ὁπόθεν
76	δημοτεύοιτο
77	,
78	παραινέσαντός
79	τινος
80	τῶν
81	παρόντων
82	προσκαλέσασθαι
83	καὶ
84	πρὸς
85	τὴν
86	φυλήν
87	,
88	ἧστινος
89	εἶναι
90	σκήπτοιτο
91	.
92	ἐπειδὴ
93	δὲ
94	ἀπεκρίνατο
95	ὅτι
96	Δεκελειόθεν
97	,
98	προσκαλεσάμενος
99	αὐτὸν
100	καὶ
101	πρὸς
102	τοὺς
103	τῇ
104	Ἱπποθωντίδι
105	δικάζοντας
106	,
107	ἐλθὼν
108	ἐπὶ
109	τὸ
110	κουρεῖον
111	τὸ
112	παρὰ
113	τοὺς
114	Ἑρμᾶς
115	,
116	οἷ
117	Δεκελειεῖς
118	προσφοιτῶσιν
119	,
120	ἠρώτων
121	,
122	οὕς
123	τε
124	ἐξευρίσκοιμι
125	Δεκελειέων
126	ἐπυνθανόμην
127	εἴ
128	τινα
129	γιγνώσκοιεν
130	Δεκελειόθεν
131	δημοτευόμενον
132	Παγκλέωνα
133	.
134	ἐπειδὴ
135	δὲ
136	οὐδεὶς
137	ἔφασκεν
138	γιγνώσκειν
139	αὐτόν
140	,
141	πυθόμενος
142	ὅτι
143	καὶ
144	ἑτέρας
145	δίκας
146	τὰς
147	μὲν
148	φεύγοι
149	τὰς
150	δ’
151	ὠφλήκοι
152	παρὰ
153	τῷ
154	πολεμάρχῳ
155	ἔλαχον
156	καὶ
157	ἐγώ
158	.
159	πρῶτον
160	μὲν
161	οὖν
162	ὑμῖν
163	Δεκελειέων
164	οὓς
165	ἠρόμην
166	μάρτυρας
167	παρέξομαι
168	,
169	ἔπειτα
170	δὲ
171	καὶ
172	τῶν
173	ἄλλων
174	τῶν
175	λαχόντων
176	τε
177	δίκας
178	αὐτῷ
179	πρὸς
180	τὸν
181	πολέμαρχον
182	καὶ
183	καταδικασαμένων
184	,
185	ὅσοι
186	τυγχάνουσι
187	παρόντες
188	.
189	καί
190	μοι
191	ἐπίλαβε
192	τὸ
193	ὕδωρ
194	.
195	Μάρτυρες
196	ἐκ
197	μὲν
