token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	ἐνθυμέομαι	v2pamp---	ἐνθυμέομαι	ἐνθυμέομαι	v2pamp---	v2pamp---	
2	τοίνυν	g--------	τοίνυν	τοίνυν	d--------	g--------	
3	,	u--------	,	,	u--------	u--------	
4	ὦ	i--------	ὦ	ὦ	i--------	i--------	
5	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
6	δικαστής	n-p---mv-	δικαστής	δικαστής	n-p---mv-	n-p---mv-	
7	,	u--------	,	,	u--------	u--------	
8	οἷος	p-p---mn-	οἷος	οἷος	a-p---mn-	p-p---mn-	
9	τις	p-p---cn-	τις	τις	a-p---mn-	p-p---cn-	
10	εἰμί	v-pppamn-	εἰμί	εἰμί	v-pppamn-	v-pppamn-	
11	πολίτης	n-p---mn-	πολίτης	πολίτης	n-p---mn-	n-p---mn-	
12	καί	c--------	καί	καί	d--------	c--------	
13	αὐτός	p-p---mn-	αὐτός	αὐτός	a-p---mn-	p-p---mn-	
14	καί	c--------	καί	καί	c--------	c--------	
15	ὅς	p-p---mg-	ὅς	ὅς	p-p---ng-	p-p---mg-	
16	προσήκω	v-pppamn-	προσήκω	προσήκω	v-pppamn-	v-pppamn-	
17	ἀδικέω	v-pppmmn-	ἀδικέω	ἀδικέω	v-pppemn-	v-pppmmn-	
18	ἀξιόω	v1ppia---	ἀξιόω	ἀξιόω	v1ppia---	v1ppia---	
19	ἐλεέω	v--pnm---	ἐλεέω	ἐλεέω	v--pne---	v--pnm---	
20	ὑπό	r--------	ὑπό	ὑπό	r--------	r--------	
21	σύ	p-p---cg-	σύ	σύ	p-p---mg-	p-p---cg-	
22	καί	c--------	καί	καί	c--------	c--------	
23	ὁ	l-p---ng-	ὁ	ὁ	l-p---mg-	l-p---ng-	
24	δίκαιος	a-p---ng-	δίκαιος	δίκαιος	a-p---mg-	a-p---ng-	
25	τυγχάνω	v--pna---	τυγχάνω	τυγχάνω	v--pna---	v--pna---	
26	·	u--------	·	·	u--------	u--------	
27	οὐ	d--------	οὐ	οὐ	d--------	d--------	
28	γάρ	g--------	γάρ	γάρ	d--------	g--------	
29	μόνος	d--------	μόνος	μόνος	a-s---na-	d--------	
30	περί	r--------	περί	περί	r--------	r--------	
31	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
32	οὐσία	n-s---fg-	οὐσία	οὐσία	n-s---fg-	n-s---fg-	
33	ἀγωνίζομαι	v1ppim---	ἀγωνίζομαι	ἀγωνίζομαι	v1ppie---	v1ppim---	
34	,	u--------	,	,	u--------	u--------	
35	ἀλλά	c--------	ἀλλά	ἀλλά	c--------	c--------	
36	καί	c--------	καί	καί	d--------	c--------	
37	περί	r--------	περί	περί	r--------	r--------	
38	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
39	πολιτεία	n-s---fg-	πολιτεία	πολιτεία	n-s---fg-	n-s---fg-	
40	,	u--------	,	,	u--------	u--------	
41	εἰ	c--------	εἰ	εἰ	c--------	c--------	
42	χρή	v3spia---	χρή	χρή	v3spia---	v3spia---	
43	δημοκρατέομαι	v-sppmfg-	δημοκρατέομαι	δημοκρατέομαι	v-sppefg-	v-sppmfg-	
44	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
45	πόλις	n-s---fg-	πόλις	πόλις	n-s---fg-	n-s---fg-	
46	ἐγώ	p-p---cd-	ἐγώ	ἐγώ	p1p---md-	p-p---cd-	
47	μέτειμι	v--ana---	μέτειμι1	μέτειμι	v--pna---	v--ana---	
48	.	u--------	.	.	u--------	u--------	
49	πρῶτος	a-s---na-	πρῶτος	πρῶτος	a-s---na-	a-s---na-	
50	μέν	g--------	μέν	μέν	d--------	g--------	
51	οὖν	g--------	οὖν	οὖν	d--------	g--------	
52	περί	r--------	περί	περί	r--------	r--------	
53	Νικίας	n-s---mg-	νικίας	Νικίας	n-s---mg-	n-s---mg-	
54	ὁ	l-s---mg-	ὁ	ὁ	l-s---mg-	l-s---mg-	
55	ἡμέτερος	a-s---mg-	ἡμέτερος	ἡμέτερος	a-s---mg-	a-s---mg-	
56	θεῖος	a-s---mg-	θεῖος2	θεῖος	n-s---mg-	a-s---mg-	
57	ἀναμιμνῄσκω	v2pamp---	ἀναμιμνῄσκω	ἀναμιμνῄσκω	v2pamp---	v2pamp---	
58	.	u--------	.	.	u--------	u--------	
59	ἐκεῖνος	p-s---mn-	ἐκεῖνος	ἐκεῖνος	p-s---mn-	p-s---mn-	
60	γάρ	g--------	γάρ	γάρ	d--------	g--------	
61	ὅσος	p-p---na-	ὅσος	ὅσος	a-p---na-	p-p---na-	
62	μέν	g--------	μέν	μέν	d--------	g--------	
63	ὁ	l-s---fd-	ὁ	ὁ	l-s---fd-	l-s---fd-	
64	ἑαυτοῦ	p-s---mg-	ἑαυτοῦ	ἑαυτοῦ	p-s---mg-	p-s---mg-	
65	γνώμη	n-s---fd-	γνώμη	γνώμη	n-s---fd-	n-s---fd-	
66	χράω	v-sppmmn-	χράομαι	χράω	v-sppemn-	v-sppmmn-	DISAGREE
67	ὑπέρ	r--------	ὑπέρ	ὑπέρ	r--------	r--------	
