ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	ἐπιτήδειόν	t_1	102443655	a-s---ma-	a-s---ma-		ἐπιτήδειος	ἐπιτήδειος		m|m|
1	2	μοι	t_2	102443656	p1s---md-	p-s---cd-		ἐγώ	ἐγώ		m|m|
1	3	δοκῶ	t_3	102443657	v1spia---	v1spia---		δοκέω	δοκέω		m|m|
1	4	καιρὸν	t_4	102443658	n-s---ma-	n-s---ma-		καιρός	καιρός		m|m|
1	5	εἰληφέναι	t_5	102443659	v--rna---	v--rna---		λαμβάνω	λαμβάνω		m|m|
1	6	περὶ	t_6	102443660	r--------	r--------		περί	περί		m|m|
1	7	ὧν	t_7	102443661	p-p---ng-	p-p---ng-		ὅς	ὅς		m|m|
1	8	εἰπεῖν	t_8	102443662	v--ana---	v--ana---		εἶπον	λέγω		m|m|@
1	9	ἐβουλόμην	t_9	102443663	v1siie---	v1siim---		βούλομαι	βούλομαι		m|m|
1	10	πάλαι	t_10	102443664	d--------	d--------		πάλαι	πάλαι		m|m|
1	11	·	t_11	102443665	u--------	u--------		·	·		m|m|
1	12	πάρεισι	t_12	102443666	v3ppia---	v3spia---		πάρειμι1	πάρειμι		m|m|
1	13	μὲν	t_13	102443667	d--------	g--------		μέν	μέν		m|m|
1	14	γὰρ	t_14	102443668	d--------	g--------		γάρ	γάρ		m|m|
1	15	οἷς	t_15	102443669	p-p---md-	p-p---nd-		ὅς	ὅς		m|m|
1	16	ἐπεγκαλῶ	t_16	102443670	v1spia---	v1spia---		ἐπεγκαλέω	ἐπεγκαλέω		m|m|
1	17	,	t_17	102443671	u--------	u--------		,	,		m|m|
1	18	πάρεισι	t_18	102443672	v3ppia---	v3spia---		πάρειμι1	πάρειμι		m|m|
1	19	δὲ	t_19	102443673	c--------	c--------		δέ	δέ		m|m|
1	20	ὧν	t_20	102443674	p-p---ng-	p-p---ng-		ὅς	ὅς		m|m|
1	21	ἐναντίον	t_21	102443675	r--------	r--------		ἐναντίον	ἐναντίον		m|m|
1	22	ἐπιθυμῶ	t_22	102443676	v1spia---	v1spia---		ἐπιθυμέω	ἐπιθυμέω		m|m|
1	23	μέμψασθαι	t_23	102443677	v--anm---	v--anm---		μέμφομαι	μέμφομαι		m|m|
1	24	τοῖς	t_24	102443678	l-p---md-	l-p---md-		ὁ	ὁ		m|m|
1	25	ἀδικοῦσιν	t_25	102443679	v-pppamd-	v-pppamd-		ἀδικέω	ἀδικέω		m|m|
1	26	ἐμέ	t_26	102443680	p1s---ca-	p-s---ca-		ἐγώ	ἐγώ		m|m|
1	27	.	t_27	102443681	u--------	u--------		.	.		m|m|
1	28	καίτοι	t_28	102443682	d--------	g--------		καίτοι	καίτοι		m|m|
1	29	πολλῷ	t_29	102443683	a-s---nd-	a-s---nd-		πολύς	πολύς		m|m|
1	30	πλείων	t_30	102443684	a-s---fnc	a-s---fnc		πλείων	πολύς		m|m|@
1	31	ἐστὶ	t_31	102443685	v3spia---	v3spia---		εἰμί	εἰμί		m|m|
1	32	σπουδὴ	t_32	102443686	n-s---fn-	n-s---fn-		σπουδή	σπουδή		m|m|
1	33	πρὸς	t_33	102443687	r--------	r--------		πρός	πρός		m|m|
1	34	τοὺς	t_34	102443688	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
1	35	παρόντας	t_35	102443689	v-pppama-	v-pppama-		πάρειμι1	πάρειμι		m|m|
1	36	·	t_36	102443690	u--------	u--------		·	·		m|m|
1	37	τοὺς	t_37	102443691	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
1	38	μὲν	t_38	102443692	d--------	g--------		μέν	μέν		m|m|
1	39	γὰρ	t_39	102443693	d--------	g--------		γάρ	γάρ		m|m|
