ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	πολλὰ	t_1	102475086	a-p---na-	a-p---na-		πολύς	πολύς		m|m|
1	2	μὲν	t_2	102475087	d--------	g--------		μέν	μέν		m|m|
1	3	λέγειν	t_3	102475088	v--pna---	v--pna---		λέγω3	λέγω		m|m|
1	4	,	t_4	102475089	u--------	u--------		,	,		m|m|
1	5	ὦ	t_5	102475090	i--------	i--------		ὦ	ὦ		m|m|
1	6	ἄνδρες	t_6	102475091	n-p---mv-	n-p---mv-		ἀνήρ	ἀνήρ		m|m|
1	7	δικασταί	t_7	102475092	n-p---mv-	n-p---mv-		δικαστής	δικαστής		m|m|
1	8	,	t_8	102475093	u--------	u--------		,	,		m|m|
1	9	περὶ	t_9	102475094	r--------	r--------		περί	περί		m|m|
1	10	τουτουὶ	t_10	102475095	a-s---ng-	p-s---ng-		οὗτος	οὗτος		m|m|
1	11	τοῦ	t_11	102475096	l-s---ng-	l-s---ng-		ὁ	ὁ		m|m|
1	12	πράγματος	t_12	102475097	n-s---ng-	n-s---ng-		πρᾶγμα	πρᾶγμα		m|m|
1	13	οὔ	t_13	102475098	d--------	d--------		οὐ	οὐ		m|m|
1	14	τ’	t_14	102475099	d--------	d--------		τε	τε		m|m|
1	15	ἂν	t_15	102475100	d--------	g--------		ἄν	ἄν		m|m|
1	16	δυναίμην	t_16	102475101	v1spoe---	v1spom---		δύναμαι	δύναμαι		m|m|
1	17	οὔ	t_17	102475102	d--------	d--------		οὐ	οὐ		m|m|
1	18	τε	t_18	102475103	c--------	b--------		τε	τε		m|m|
1	19	μοι	t_19	102475104	p-s---md-	p1s---cd-		ἐγώ	ἐγώ		m|m|
1	20	δοκεῖ	t_20	102475105	v3spia---	v3spia---		δοκέω	δοκέω		m|m|
1	21	δεῖν	t_21	102475106	v--pna---	v--pna---		δεῖ	δέω		m|m|@
1	22	·	t_22	102475107	u--------	u--------		·	·		m|m|
1	23	ὡς	t_23	102475108	c--------	c--------		ὡς	ὡς		m|m|
1	24	δὲ	t_24	102475109	d--------	b--------		δέ	δέ		m|m|
1	25	ὀρθῶς	t_25	102475110	d--------	d--------		ὀρθός	ὀρθός		m|m|
1	26	τὴν	t_26	102475111	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
1	27	δίκην	t_27	102475112	n-s---fa-	n-s---fa-		δίκη	δίκη		m|m|
1	28	ἔλαχον	t_28	102475113	v1saia---	v1saia---		λαγχάνω	λαγχάνω		m|m|
1	29	τουτῳὶ	t_29	102475114	a-s---md-	p-s---md-		οὗτος	οὗτος		m|m|
1	30	Παγκλέωνι	t_30	102475115	n-s---md-	n-s---md-		πάγκλειος	Παγκλέων		m|m|@
1	31	οὐκ	t_31	102475116	d--------	d--------		οὐ	οὐ		m|m|
1	32	ὄντι	t_32	102475117	v-sppamd-	v-sppamd-		εἰμί	εἰμί		m|m|
1	33	Πλαταιεῖ	t_33	102475118	n-s---md-	n-s---md-		πλαταιεύς	Πλαταιεύς		m|m|
1	34	,	t_34	102475119	u--------	u--------		,	,		m|m|
1	35	τοῦτο	t_35	102475120	p-s---na-	p-s---na-		οὗτος	οὗτος		m|m|
1	36	ὑμῖν	t_36	102475121	p-p---md-	p2p---cd-		σύ	σύ		m|m|
1	37	πειράσομαι	t_37	102475122	v1sfim---	v1sfim---		πειράω	πειράω		m|m|
1	38	ἀποδεῖξαι	t_38	102475123	v--ana---	v--ana---		ἀποδείκνυμι	ἀποδείκνυμι		m|m|
1	39	.	t_39	102475124	u--------	u--------		.	.		m|m|
2	1	ὡς	t_40	102475125	c--------	c--------		ὡς	ὡς		m|m|
2	2	γὰρ	t_41	102475126	d--------	g--------		γάρ	γάρ		m|m|
2	3	ἀδικῶν	t_42	102475127	v-sppamn-	v-sppamn-		ἀδικέω	ἀδικέω		m|m|
2	4	με	t_43	102475128	p1s---ma-	p1s---ca-		ἐγώ	ἐγώ		m|m|
2	5	πολὺν	t_44	102475129	a-s---ma-	a-s---ma-		πολύς	πολύς		m|m|
2	6	χρόνον	t_45	102475130	n-s---ma-	n-s---ma-		χρόνος	χρόνος		m|m|
