ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	εἰ	t_1	100736087	c--------	c--------		εἰ	εἰ		m|m|
1	2	μὲν	t_2	100736088	d--------	g--------		μέν	μέν		m|m|
1	3	ὅμοιος	t_3	100736089	a-s---mn-	a-s---mn-		ὅμοιος	ὅμοιος		m|m|
1	4	ἦν	t_4	100736090	v3siia---	v3siia---		εἰμί	εἰμί		m|m|
1	5	ὁ	t_5	100736091	l-s---mn-	l-s---mn-		ὁ	ὁ		m|m|
1	6	λόγος	t_6	100736092	n-s---mn-	n-s---mn-		λόγος	λόγος		m|m|
1	7	ὁ	t_7	100736093	l-s---mn-	l-s---mn-		ὁ	ὁ		m|m|
1	8	μέλλων	t_8	100736094	v-sppamn-	v-sppamn-		μέλλω	μέλλω		m|m|
1	9	ἀναγνωσθήσεσθαι	t_9	100736095	v--fnp---	v--fnp---		ἀναγιγνώσκω	ἀναγιγνώσκω		m|m|
1	10	τοῖς	t_10	100736096	l-p---md-	l-p---nd-		ὁ	ὁ		m|m|
1	11	ἢ	t_11	100736097	d--------	c--------		ἤ1	ἤ		m|m|
1	12	πρὸς	t_12	100736098	r--------	r--------		πρός	πρός		m|m|
1	13	τοὺς	t_13	100736099	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
1	14	ἀγῶνας	t_14	100736100	n-p---ma-	n-p---ma-		ἀγών	ἀγών		m|m|
1	15	ἢ	t_15	100736101	c--------	c--------		ἤ1	ἤ		m|m|
1	16	πρὸς	t_16	100736102	r--------	r--------		πρός	πρός		m|m|
1	17	τὰς	t_17	100736103	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	18	ἐπιδείξεις	t_18	100736104	n-p---fa-	n-p---fa-		ἐπίδειξις	ἐπίδειξις		m|m|
1	19	γιγνομένοις	t_19	100736105	v-pppend-	v-pppmnd-		γίγνομαι	γίγνομαι		m|m|
1	20	,	t_20	100736106	u--------	u--------		,	,		m|m|
1	21	οὐδὲν	t_21	100736107	p-s---na-	p-s---na-		οὐδείς	οὐδείς		m|m|
1	22	ἂν	t_22	100736108	d--------	g--------		ἄν	ἄν		m|m|
1	23	οἶμαι	t_23	100736109	v1spie---	v1spim---		οἴομαι	οἴομαι		m|m|
1	24	προδιαλεχθῆναι	t_24	100736110	v--anp---	v--anp---		πρόδιαλέγω	προδιαλέγω		m|m|
1	25	περὶ	t_25	100736111	r--------	r--------		περί	περί		m|m|
1	26	αὐτοῦ	t_26	100736112	p-s---mg-	p-s---mg-		αὐτός	αὐτός		m|m|
1	27	·	t_27	100736113	u--------	u--------		·	·		m|m|
1	28	νῦν	t_28	100736114	d--------	d--------		νῦν	νῦν		m|m|
1	29	δὲ	t_29	100736115	d--------	c--------		δέ	δέ		m|m|
1	30	διὰ	t_30	100736116	r--------	r--------		διά	διά		m|m|
1	31	τὴν	t_31	100736117	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
1	32	καινότητα	t_32	100736118	n-s---fa-	n-s---fa-		καινότης	καινότης		m|m|
1	33	καὶ	t_33	100736119	c--------	c--------		καί	καί		m|m|
1	34	τὴν	t_34	100736120	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
1	35	διαφορὰν	t_35	100736121	n-s---fa-	n-s---fa-		διαφορά	διαφορά		m|m|
1	36	ἀναγκαῖόν	t_36	100736122	a-s---nn-	a-s---nn-		ἀναγκαῖος	ἀναγκαῖος		m|m|
1	37	ἐστι	t_37	100736123	v3spia---	v3spia---		εἰμί	εἰμί		m|m|
1	38	προειπεῖν	t_38	100736124	v--ana---	v--ana---		προεῖπον	προλέγω		m|m|@
1	39	τὰς	t_39	100736125	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	40	αἰτίας	t_40	100736126	n-p---fa-	n-p---fa-		αἰτία	αἰτία		m|m|
1	41	,	t_41	100736127	u--------	u--------		,	,		m|m|
1	42	διʼ	t_42	100736128	r--------	r--------		διά	διά		m|m|
1	43	ἃς	t_43	100736129	p-p---fa-	p-p---fa-		ὅς	ὅς		m|m|
1	44	οὕτως	t_44	100736130	d--------	d--------		οὕτως	οὕτως		m|m|
1	45	ἀνόμοιον	t_45	100736131	a-s---ma-	a-s---ma-		ἀνόμοιος	ἀνόμοιος		m|m|
1	46	αὐτὸν	t_46	100736132	p-s---ma-	p-s---ma-		αὐτός	αὐτός		m|m|
1	47	ὄντα	t_47	100736133	v-sppama-	v-sppama-		εἰμί	εἰμί		m|m|
1	48	τοῖς	t_48	100736134	l-p---md-	l-p---md-		ὁ	ὁ		m|m|
1	49	ἄλλοις	t_49	100736135	p-p---md-	p-p---md-		ἄλλος	ἄλλος		m|m|
1	50	γράφειν	t_50	100736136	v--pna---	v--pna---		γράφω	γράφω		m|m|
1	51	προειλόμην	t_51	100736137	v1saim---	v1saim---		προαιρέω	προαιρέω		m|m|
1	52	·	t_52	100736138	u--------	u--------		·	·		m|m|
1	53	μὴ	t_53	100736139	d--------	d--------		μή	μή		m|m|
1	54	γὰρ	t_54	100736140	d--------	g--------		γάρ	γάρ		m|m|
1	55	τούτων	t_55	100736141	p-p---fg-	p-p---fg-		οὗτος	οὗτος		m|m|
1	56	δηλωθεισῶν	t_56	100736142	v-pappfg-	v-pappfg-		δηλόω	δηλόω		m|m|
1	57	πολλοῖς	t_57	100736143	a-p---md-	a-p---md-		πολύς	πολύς		m|m|
1	58	ἂν	t_58	100736144	d--------	g--------		ἄν	ἄν		m|m|
1	59	ἴσως	t_59	100736145	d--------	d--------		ἴσως	ἴσως		m|m|
1	60	ἄτοπος	t_60	100736146	a-s---mn-	a-s---fn-		ἄτοπος	ἄτοπος		m|m|
1	61	εἶναι	t_61	100736147	v--pna---	v--pna---		εἰμί	εἰμί		m|m|
1	62	δόξειεν	t_62	100736148	v3saoa---	v3saoa---		δοκέω	δοκέω		m|m|
1	63	.	t_63	100736149	u--------	u--------		.	.		m|m|
2	1	ἐγὼ	t_64	100736150	p1s---mn-	p-s---cn-		ἐγώ	ἐγώ		m|m|
2	2	γὰρ	t_65	100736151	d--------	g--------		γάρ	γάρ		m|m|
2	3	εἰδὼς	t_66	100736152	v-srpamn-	v-srpamn-		οἶδα	οἶδα		m|m|
2	4	ἐνίους	t_67	100736153	a-p---ma-	a-p---ma-		ἔνιοι	ἔνιοι		m|m|
2	5	τῶν	t_68	100736154	l-p---mg-	l-p---mg-		ὁ	ὁ		m|m|
2	6	σοφιστῶν	t_69	100736155	n-p---mg-	n-p---mg-		σοφιστής	σοφιστής		m|m|
2	7	βλασφημοῦντας	t_70	100736156	v-pppama-	v-pppama-		βλασφημέω	βλασφημέω		m|m|
2	8	περὶ	t_71	100736157	r--------	r--------		περί	περί		m|m|
2	9	τῆς	t_72	100736158	l-s---fg-	l-s---fg-		ὁ	ὁ		m|m|
2	10	ἐμῆς	t_73	100736159	a-s---fg-	a-s---fg-		ἐμός	ἐμός		m|m|
2	11	διατριβῆς	t_74	100736160	n-s---fg-	n-s---fg-		διατριβή	διατριβή		m|m|
2	12	,	t_75	100736161	u--------	u--------		,	,		m|m|
2	13	καὶ	t_76	100736162	d--------	c--------		καί	καί		m|m|
2	14	λέγοντας	t_77	100736163	v-pppama-	v-pppama-		λέγω3	λέγω		m|m|
2	15	ὡς	t_78	100736164	c--------	c--------		ὡς	ὡς		m|m|
2	16	ἔστι	t_79	100736165	v3spia---	v3spia---		εἰμί	εἰμί		m|m|
2	17	περὶ	t_80	100736166	r--------	r--------		περί	περί		m|m|
2	18	δικογραφίαν	t_81	100736167	n-s---fa-	n-s---fa-		δικογραφία	δικογραφία		m|m|
2	19	,	t_82	100736168	u--------	u--------		,	,		m|m|
2	20	καὶ	t_83	100736169	c--------	c--------		καί	καί		m|m|
2	21	παραπλήσιον	t_84	100736170	a-s---na-	a-s---na-		παραπλήσιος	παραπλήσιος		m|m|
