ref	idx	token	oga_id	oga_postag	gorman_postag	oga_lemma	gorman_lemma	mismatch
1.1.1	1	Θουκυδίδης	t_1	n-s---mn-	n-s---mn-	θουκυδίδης	Θουκυδίδης	.
1.1.1	2	Ἀθηναῖος	t_2	a-s---mn-	n-s---mn-	ἀθηναῖος	Ἀθηναῖος	.
1.1.1	3	ξυνέγραψε	t_3	v3saia---	v3saia---	συγγράφω	συγγράφω	
1.1.1	4	τὸν	t_4	l-s---ma-	l-s---ma-	ὁ	ὁ	
1.1.1	5	πόλεμον	t_5	n-s---ma-	n-s---ma-	πόλεμος	πόλεμος	
1.1.1	6	τῶν	t_6	l-p---mg-	l-p---mg-	ὁ	ὁ	
1.1.1	7	Πελοποννησίων	t_7	n-p---mg-	n-p---mg-	πελοποννήσιοι	Πελοποννήσιοι	.
1.1.1	8	καὶ	t_8	c--------	c--------	καί	καί	
1.1.1	9	Ἀθηναίων	t_9	n-p---mg-	n-p---mg-	ἀθήναιος	Ἀθήναιος	.
1.1.1	10	,	t_10	u--------	u--------	,	punc1	
1.1.1	11	ὡς	t_11	c--------	c--------	ὡς	ὡς	
1.1.1	12	ἐπολέμησαν	t_12	v3paia---	v3paia---	πολεμέω	πολεμέω	
1.1.1	13	πρὸς	t_13	r--------	r--------	πρός	πρός	
1.1.1	14	ἀλλήλους	t_14	p-p---ma-	p-p---ma-	ἀλλήλων	ἀλλήλων	
1.1.1	15	,	t_15	u--------	u--------	,	punc1	
1.1.1	16	ἀρξάμενος	t_16	v-sapmmn-	v-sapmmn-	ἄρχω	ἄρχω	
1.1.1	17	εὐθὺς	t_17	d--------	d--------	εὐθύς2	εὐθύς2	
1.1.1	18	καθισταμένου	t_18	v-sppemg-	v-sppeng-	καθίστημι	καθιστάω	@
1.1.1	19	καὶ	t_19	c--------	c--------	καί	καί	
1.1.1	20	ἐλπίσας	t_20	v-sapamn-	v-sapamn-	ἐλπίζω	ἐλπίζω	
1.1.1	21	μέγαν	t_21	a-s---ma-	a-s---ma-	μέγας	μέγας	
1.1.1	22	τε	t_22	d--------	d--------	τε	τε	
1.1.1	23	ἔσεσθαι	t_23	v--fnm---	v--fnm---	εἰμί	εἰμί	
1.1.1	24	καὶ	t_24	c--------	c--------	καί	καί	
1.1.1	25	ἀξιολογώτατον	t_25	a-s---mas	a-s---mas	ἀξιόλογος	ἀξιόλογος	
1.1.1	26	τῶν	t_26	l-p---ng-	l-p---mg-	ὁ	ὁ	.
1.1.1	27	προγεγενημένων	t_27	v-prpeng-	v-prpemg-	προγίγνομαι	προγίγνομαι	.
1.1.1	28	,	t_28	u--------	u--------	,	punc1	
1.1.1	29	τεκμαιρόμενος	t_29	v-sppemn-	v-sppemn-	τεκμαίρομαι	τεκμαίρομαι	
1.1.1	30	ὅτι	t_30	c--------	c--------	ὅτι	ὅτι2	@
1.1.1	31	ἀκμάζοντές	t_31	v-pppamn-	v-pppamn-	ἀκμάζω	ἀκμάζω	
1.1.1	32	τε	t_32	d--------	d--------	τε	τε	
1.1.1	33	ᾖσαν	t_33	v3piia---	v3piia---	εἶμι	εἶμι	
1.1.1	34	ἐς	t_34	r--------	r--------	εἰς	εἰς	
1.1.1	35	αὐτὸν	t_35	p-s---ma-	a-s---ma_	αὐτός	αὐτός	.
1.1.1	36	ἀμφότεροι	t_36	a-p---mn-	a-p---mn-	ἀμφότερος	ἀμφότερος	
1.1.1	37	παρασκευῇ	t_37	n-s---fd-	n-s---fd-	παρασκευή	παρασκευή	
1.1.1	38	τῇ	t_38	l-s---fd-	l-s---fd-	ὁ	ὁ	
1.1.1	39	πάσῃ	t_39	a-s---fd-	a-s---fd-	πᾶς	πᾶς	
1.1.1	40	καὶ	t_40	c--------	c--------	καί	καί	
1.1.1	41	τὸ	t_41	l-s---na-	l-s---na-	ὁ	ὁ	
1.1.1	42	ἄλλο	t_42	a-s---na-	a-s---na_	ἄλλος	ἄλλος	.
1.1.1	43	Ἑλληνικὸν	t_43	a-s---na-	a-s---na-	ἑλληνικός	Ἑλληνικός	.
1.1.1	44	ὁρῶν	t_44	v-sppamn-	v-sppamn-	ὁράω	ὁράω	
1.1.1	45	ξυνιστάμενον	t_45	v-sppena-	v-sppena-	συνίστημι	καθίστημι	@
1.1.1	46	πρὸς	t_46	r--------	r--------	πρός	πρός	
1.1.1	47	ἑκατέρους	t_47	a-p---ma-	a-p---ma-	ἑκάτερος	ἑκάτερος	
1.1.1	48	,	t_48	u--------	u--------	,	punc1	
1.1.1	49	τὸ	t_49	l-s---na-	l-s---na-	ὁ	ὁ	
1.1.1	50	μὲν	t_50	d--------	d--------	μέν	μέν	
1.1.1	51	εὐθύς	t_51	d--------	d--------	εὐθύς	εὐθύς2	@
1.1.1	52	,	t_52	u--------	u--------	,	punc1	
1.1.1	53	τὸ	t_53	l-s---na-	l-s---na-	ὁ	ὁ	
1.1.1	54	δὲ	t_54	c--------	c--------	δέ	δέ	
1.1.1	55	καὶ	t_55	d--------	d--------	καί	καί	
1.1.1	56	διανοούμενον	t_56	v-sppena-	v-sppena-	διανοέομαι	διανοέομαι	
1.1.1	57	.	t_57	u--------	u--------	.	punc1	
1.1.2	1	κίνησις	t_58	n-s---fn-	n-s---fn-	κίνησις	κίνησις	
1.1.2	2	γὰρ	t_59	d--------	d--------	γάρ	γάρ	
1.1.2	3	αὕτη	t_60	p-s---fn-	a-s---fn_	οὗτος	οὗτος	.
1.1.2	4	μεγίστη	t_61	a-s---fns	a-s---fn-	μέγας	μέγας	.
1.1.2	5	δὴ	t_62	d--------	d--------	δή	δή	
1.1.2	6	τοῖς	t_63	l-p---md-	l-p---md-	ὁ	ὁ	
1.1.2	7	Ἕλλησιν	t_64	n-p---md-	n-p---md-	ἕλλην	Ἕλλην	.
1.1.2	8	ἐγένετο	t_65	v3saim---	v3saim---	γίγνομαι	γίγνομαι	
1.1.2	9	καὶ	t_66	c--------	c--------	καί	καί	
1.1.2	10	μέρει	t_67	n-s---nd-	n-s---nd-	μέρος	μέρος	
1.1.2	11	τινὶ	t_68	a-s---nd-	a-s---nd_	τις	τις	.
1.1.2	12	τῶν	t_69	l-p---mg-	l-p---mg-	ὁ	ὁ	
1.1.2	13	βαρβάρων	t_70	n-p---mg-	n-p---mg-	βάρβαρος	βάρβαρος	
1.1.2	14	,	t_71	u--------	u--------	,	punc1	
1.1.2	15	ὡς	t_72	c--------	c--------	ὡς	ὡς	
1.1.2	16	δὲ	t_73	c--------	d--------	δέ	δέ	.
1.1.2	17	εἰπεῖν	t_74	v--ana---	v--ana---	εἶπον	εἶπον	
1.1.2	18	καὶ	t_75	d--------	c--------	καί	καί	.
1.1.2	19	ἐπὶ	t_76	r--------	r--------	ἐπί	ἐπί	
1.1.2	20	πλεῖστον	t_77	a-s---na-	a-s---na-	πλεῖστος	πλεῖστος	
1.1.2	21	ἀνθρώπων	t_78	n-p---mg-	n-p---mg-	ἄνθρωπος	ἄνθρωπος	
1.1.2	22	.	t_79	u--------	u--------	.	punc1	
1.1.3	1	τὰ	t_80	l-p---na-	l-p---na-	ὁ	ὁ	
1.1.3	2	γὰρ	t_81	d--------	d--------	γάρ	γάρ	
1.1.3	3	πρὸ	t_82	r--------	r--------	πρό	πρό	
1.1.3	4	αὐτῶν	t_83	p-p---ng-	p-p---ng-	αὐτός	αὐτός	
1.1.3	5	καὶ	t_84	c--------	c--------	καί	καί	
1.1.3	6	τὰ	t_85	l-p---na-	l-p---na-	ὁ	ὁ	
1.1.3	7	ἔτι	t_86	d--------	d--------	ἔτι	ἔτι	
1.1.3	8	παλαίτερα	t_87	a-p---nac	a-p---nac	παλαιός	παλαιός	
1.1.3	9	σαφῶς	t_88	d--------	d--------	σαφής	σαφής	
1.1.3	10	μὲν	t_89	d--------	d--------	μέν	μέν	
1.1.3	11	εὑρεῖν	t_90	v--ana---	v--ana---	εὑρίσκω	εὑρίσκω	
1.1.3	12	διὰ	t_91	r--------	r--------	διά	διά	
1.1.3	13	χρόνου	t_92	n-s---mg-	n-s---mg-	χρόνος	χρόνος	
1.1.3	14	πλῆθος	t_93	n-s---na-	n-s---na-	πλῆθος	πλῆθος	
1.1.3	15	ἀδύνατα	t_94	a-p---nn-	a-p---nn-	ἀδύνατος	ἀδύνατος	
1.1.3	16	ἦν	t_95	v3siia---	v3siia---	εἰμί	εἰμί	
1.1.3	17	,	t_96	u--------	u--------	,	punc1	
1.1.3	18	ἐκ	t_97	r--------	r--------	ἐκ	ἐκ	
1.1.3	19	δὲ	t_98	c--------	c--------	δέ	δέ	
1.1.3	20	τεκμηρίων	t_99	n-p---ng-	n-p---ng-	τεκμήριον	τεκμήριον	
1.1.3	21	ὧν	t_100	p-p---ng-	p-p---ng-	ὅς	ὅς	
1.1.3	22	ἐπὶ	t_101	r--------	r--------	ἐπί	ἐπί	
1.1.3	23	μακρότατον	t_102	a-s---nas	a-s---nas	μακρός	μακρός	
1.1.3	24	σκοποῦντί	t_103	v-sppann-	v-sppamd-	σκοπέω	σκοπέω	.
1.1.3	25	μοι	t_104	p1s---md-	p1s---md-	ἐγώ	ἐγώ	
1.1.3	26	πιστεῦσαι	t_105	v--ana---	v--ana---	πιστεύω	πιστεύω	
1.1.3	27	ξυμβαίνει	t_106	v3spia---	v3spia---	συμβαίνω	συμβαίνω	
1.1.3	28	οὐ	t_107	d--------	d--------	οὐ	οὐ	
1.1.3	29	μεγάλα	t_108	a-p---na-	a-p---na-	μέγας	μέγας	
1.1.3	30	νομίζω	t_109	v1spia---	v1spia---	νομίζω	νομίζω	
1.1.3	31	γενέσθαι	t_110	v--anm---	v--anm---	γίγνομαι	γίγνομαι	
1.1.3	32	οὔ	t_111	d--------	d--------	οὐ	οὐ	
1.1.3	33	τε	t_112	d--------	d--------	τε	τε	
1.1.3	34	κατὰ	t_113	r--------	r--------	κατά	κατά	
1.1.3	35	τοὺς	t_114	l-p---ma-	l-p---ma-	ὁ	ὁ	
1.1.3	36	πολέμους	t_115	n-p---ma-	n-p---ma-	πόλεμος	πόλεμος	
1.1.3	37	οὔ	t_116	d--------	d--------	οὐ	οὐ	
1.1.3	38	τε	t_117	c--------	c--------	τε	τε	
1.1.3	39	ἐς	t_118	r--------	r--------	εἰς	εἰς	
1.1.3	40	τὰ	t_119	l-p---na-	l-p---na-	ὁ	ὁ	
1.1.3	41	ἄλλα	t_120	p-p---na-	p-p---na-	ἄλλος	ἄλλος	
1.1.3	42	.	t_121	u--------	u--------	.	punc1	
1.2.1	1	φαίνεται	t_122	v3spie---	v3spie---	φαίνω	φαίνω	
1.2.1	2	γὰρ	t_123	d--------	d--------	γάρ	γάρ	
1.2.1	3	ἡ	t_124	l-s---fn-	l-s---fn-	ὁ	ὁ	
1.2.1	4	νῦν	t_125	d--------	d--------	νῦν	νῦν	
1.2.1	5	Ἑλλὰς	t_126	n-s---fn-	n-s---fn-	ἑλλάς	Ἑλλάς	.
1.2.1	6	καλουμένη	t_127	v-sppefn-	v-sppefn-	καλέω	καλέω	
1.2.1	7	οὐ	t_128	d--------	d--------	οὐ	οὐ	
1.2.1	8	πάλαι	t_129	d--------	d--------	πάλαι	πάλαι	
1.2.1	9	βεβαίως	t_130	d--------	d--------	βέβαιος	βέβαιος	
1.2.1	10	οἰκουμένη	t_131	v-sppefn-	v-sppefn_	οἰκέω	οἰκέω	.
1.2.1	11	,	t_132	u--------	u--------	,	punc1	
1.2.1	12	ἀλλὰ	t_133	c--------	c--------	ἀλλά	ἀλλὰ	.
1.2.1	13	μεταναστάσεις	t_134	a-p---fn-	n-p---fn-	μετανίστημι	μετανάστασις	@
1.2.1	14	τε	t_135	d--------	d--------	τε	τε	
1.2.1	15	οὖσαι	t_136	v-pppafn-	v-pppafn-	εἰμί	εἰμί	
1.2.1	16	τὰ	t_137	l-p---na-	l-p---na-	ὁ	ὁ	
1.2.1	17	πρότερα	t_138	a-p---na-	a-p---na-	πρότερος	πρότερος	
1.2.1	18	καὶ	t_139	c--------	c--------	καί	καί	
1.2.1	19	ῥᾳδίως	t_140	d--------	d--------	ῥᾴδιος	ῥᾴδιος	.
1.2.1	20	ἕκαστοι	t_141	a-p---mn-	a-p---mn-	ἕκαστος	ἕκαστος	
1.2.1	21	τὴν	t_142	l-s---fa-	l-s---fa-	ὁ	ὁ	
1.2.1	22	ἑαυτῶν	t_143	p-p---mg-	p-p---mg-	ἑαυτοῦ	ἑαυτοῦ	
1.2.1	23	ἀπολείποντες	t_144	v-pppamn-	v-pppamn-	ἀπολιμπάνω	ἀπολιμπάνω	
1.2.1	24	βιαζόμενοι	t_145	v-pppemn-	v-pppemn-	βιάζω	βιάζω	
1.2.1	25	ὑπό	t_146	r--------	r--------	ὑπό	ὑπό	
1.2.1	26	τινων	t_147	p-p---mg-	p-p---mg-	τις	τις	
1.2.1	27	αἰεὶ	t_148	d--------	d--------	ἀεί	ἀεί	
1.2.1	28	πλειόνων	t_149	a-p---mgc	a-p---mgc	πλείων	πλείων	
1.2.1	29	.	t_150	u--------	u--------	.	punc1	
1.2.2	1	τῆς	t_151	l-s---fg-	l-s---fg-	ὁ	ὁ	
1.2.2	2	γὰρ	t_152	d--------	d--------	γάρ	γάρ	
1.2.2	3	ἐμπορίας	t_153	n-s---fg-	n-s---fg-	ἐμπορία	ἐμπορία	
1.2.2	4	οὐκ	t_154	d--------	d--------	οὐ	οὐ	
1.2.2	5	οὔσης	t_155	v-sppafg-	v-sppafg-	εἰμί	εἰμί	
1.2.2	6	,	t_156	u--------	u--------	,	punc1	
1.2.2	7	οὐ	t_157	d--------	d--------	οὐ	οὐ	
1.2.2	8	δ’	t_158	d--------	c--------	δέ	δέ	.
1.2.2	9	ἐπιμειγνύντες	t_159	v-pppamn-	v-pppamn-	ἐπιμειγνύμι	ἐπιμίγνυμι	@
1.2.2	10	ἀδεῶς	t_160	d--------	d--------	ἀδεής	ἀδεής	
1.2.2	11	ἀλλήλοις	t_161	p-p---md-	p-p---md-	ἀλλήλων	ἀλλήλων	
1.2.2	12	οὔ	t_162	d--------	d--------	οὐ	οὐ	
1.2.2	13	τε	t_163	d--------	d--------	τε	τε	
1.2.2	14	κατὰ	t_164	r--------	r--------	κατά	κατά	
1.2.2	15	γῆν	t_165	n-s---fa-	n-s---fa-	γῆ	Γαῖα	@
1.2.2	16	οὔ	t_166	d--------	d--------	οὐ	οὐ	
1.2.2	17	τε	t_167	c--------	c--------	τε	τε	
1.2.2	18	διὰ	t_168	r--------	r--------	διά	διά	
1.2.2	19	θαλάσσης	t_169	n-s---fg-	n-s---fg-	θάλασσα	θάλασσα	
1.2.2	20	,	t_170	u--------	u--------	,	punc1	
1.2.2	21	νεμόμενοί	t_171	v-pppemn-	v-pppemn-	νέμω	νέμω	
1.2.2	22	τε	t_172	d--------	d--------	τε	τε	
1.2.2	23	τὰ	t_173	l-p---na-	l-p---na-	ὁ	ὁ	
1.2.2	24	αὑτῶν	t_174	p-p---mg-	p-p---mg-	ἑαυτοῦ	ἑαυτοῦ	
1.2.2	25	ἕκαστοι	t_175	a-p---mn-	a-p---mn-	ἕκαστος	ἕκαστος	
1.2.2	26	ὅσον	t_176	a-s---na-	a-s---na-	ὅσος	ὅσος	
1.2.2	27	ἀποζῆν	t_177	v3siia---	v--pna---	ἀποζάω	ἀποζάω	.
1.2.2	28	καὶ	t_178	d--------	d--------	καί	καί	
1.2.2	29	περιουσίαν	t_179	n-s---fa-	n-s---fa-	περιουσία	περιουσία	
1.2.2	30	χρημάτων	t_180	n-p---ng-	n-p---ng-	χρῆμα	χρῆμα	
1.2.2	31	οὐκ	t_181	d--------	d--------	οὐ	οὐ	
1.2.2	32	ἔχοντες	t_182	v-pppamn-	v-pppamn-	ἔχω	ἔχω	
1.2.2	33	οὐ	t_183	d--------	d--------	οὐ	οὐ	
1.2.2	34	δὲ	t_184	c--------	c--------	δέ	δέ	
1.2.2	35	γῆν	t_185	n-s---fa-	n-s---fa-	γῆ	γῆ	
1.2.2	36	φυτεύοντες	t_186	v-pppamn-	v-pppamn-	φυτεύω	φυτεύω	
1.2.2	37	,	t_187	u--------	u--------	,	punc1	
1.2.2	38	ἄδηλον	t_188	a-s---nn-	a-s---na-	ἄδηλος	ἄδηλος	.
1.2.2	39	ὂν	t_189	v-sppann-	v-sppana-	εἰμί	εἰμί	.
1.2.2	40	ὁπότε	t_190	c--------	d--------	ὁπότε	ὁπότε	.
1.2.2	41	τις	t_191	p-s---mn-	p-s---mn-	τις	τις	
1.2.2	42	ἐπελθὼν	t_192	v-sapamn-	v-sapamn-	ἐπέρχομαι	ἐπέρχομαι	
1.2.2	43	καὶ	t_193	c--------	d--------	καί	καί	.
1.2.2	44	ἀτειχίστων	t_194	a-p---mg-	a-p---mg-	ἀτείχιστος	ἀτείχιστος	
1.2.2	45	ἅμα	t_195	d--------	d--------	ἅμα	ἅμα	
1.2.2	46	ὄντων	t_196	v-pppamg-	v-pppamg-	εἰμί	εἰμί	
1.2.2	47	ἄλλος	t_197	p-s---mn-	a-s---mn_	ἄλλος	ἄλλος	.
1.2.2	48	ἀφαιρήσεται	t_198	v3sasm---	v3sasm---	ἀφαιρέω	ἀφαιρέω	
1.2.2	49	,	t_199	u--------	u--------	,	punc1	
1.2.2	50	τῆς	t_200	l-s---fg-	l-s---fg-	ὁ	ὁ	
1.2.2	51	τε	t_201	c--------	c--------	τε	τε	
1.2.2	52	καθ’	t_202	r--------	r--------	κατά	κατά	
1.2.2	53	ἡμέραν	t_203	n-s---fa-	n-s---fa-	ἡμέρα	ἡμέρα	
1.2.2	54	ἀναγκαίου	t_204	a-s---fg-	a-s---fg-	ἀναγκαῖος	ἀναγκαῖος	
1.2.2	55	τροφῆς	t_205	n-s---fg-	n-s---fg-	τροφή	τροφή	
1.2.2	56	πανταχοῦ	t_206	d--------	d--------	πανταχοῦ	πανταχοῦ	
1.2.2	57	ἂν	t_207	d--------	d--------	ἄν	ἄν1	@
1.2.2	58	ἡγούμενοι	t_208	v-pppmmn-	v-pppmmn-	ἡγέομαι	ἡγέομαι	
1.2.2	59	ἐπικρατεῖν	t_209	v--pna---	v--pna---	ἐπικρατέω	ἐπικρατέω	
1.2.2	60	,	t_210	u--------	u--------	,	punc1	
1.2.2	61	οὐ	t_211	d--------	d--------	οὐ	οὐ	
1.2.2	62	χαλεπῶς	t_212	d--------	d--------	χαλεπός	χαλεπός	
1.2.2	63	ἀπανίσταντο	t_213	v3piie---	v3piie---	ἀπανίστημι	ἀπανίστημι	
1.2.2	64	,	t_214	u--------	u--------	,	punc1	
1.2.2	65	καὶ	t_215	c--------	c--------	καί	καί	
1.2.2	66	δι’	t_216	r--------	r--------	διά	διά	
1.2.2	67	αὐτὸ	t_217	p-s---na-	p-s---na-	αὐτός	αὐτός	
1.2.2	68	οὔ	t_218	d--------	d--------	οὐ	οὐ	
1.2.2	69	τε	t_219	d--------	d--------	τε	τε	
1.2.2	70	μεγέθει	t_220	n-s---nd-	n-s---nd-	μέγεθος	μέγεθος	
1.2.2	71	πόλεων	t_221	n-p---fg-	n-p---fg-	πόλις	πόλις	
1.2.2	72	ἴσχυον	t_222	v3piia---	v3piia---	ἰσχύω	ἰσχύω	
1.2.2	73	οὔ	t_223	d--------	d--------	οὐ	οὐ	
1.2.2	74	τε	t_224	c--------	c--------	τε	τε	
1.2.2	75	τῇ	t_225	l-s---fd-	l-s---fd-	ὁ	ὁ	
1.2.2	76	ἄλλῃ	t_226	a-s---fd-	a-s---fd_	ἄλλῃ	ἄλλος	@
1.2.2	77	παρασκευῇ	t_227	n-s---fd-	n-s---fd-	παρασκευή	παρασκευή	
1.2.2	78	.	t_228	u--------	u--------	.	punc1	
1.2.3	1	μάλιστα	t_229	d--------	d--------	μάλιστα	μάλιστα	
1.2.3	2	δὲ	t_230	d--------	d--------	δέ	δέ	
1.2.3	3	τῆς	t_231	l-s---fg-	l-s---fg-	ὁ	ὁ	
1.2.3	4	γῆς	t_232	n-s---fg-	n-s---fg-	γῆ	γῆ	
1.2.3	5	ἡ	t_233	l-s---fn-	l-s---fn-	ὁ	ὁ	
1.2.3	6	ἀρίστη	t_234	a-s---fn-	a-s---fn-	ἄριστος	ἄριστος	
1.2.3	7	αἰεὶ	t_235	d--------	d--------	ἀεί	ἀεί	
1.2.3	8	τὰς	t_236	l-p---fa-	l-p---fa-	ὁ	ὁ	
1.2.3	9	μεταβολὰς	t_237	n-p---fa-	n-p---fa-	μεταβολή	μεταβολή	
1.2.3	10	τῶν	t_238	l-p---mg-	l-p---mg-	ὁ	ὁ	
1.2.3	11	οἰκητόρων	t_239	n-p---mg-	n-p---mg-	οἰκήτωρ	οἰκήτωρ	
1.2.3	12	εἶχεν	t_240	v3siia---	v3siia---	ἔχω	ἔχω	
1.2.3	13	,	t_241	u--------	u--------	,	punc1	
1.2.3	14	ἥ	t_242	l-s---fn-	l-s---fn-	ὅς	ὁ	@
1.2.3	15	τε	t_243	d--------	d--------	τε	τε	
1.2.3	16	νῦν	t_244	d--------	d--------	νῦν	νῦν	
1.2.3	17	Θεσσαλία	t_245	a-s---fn-	n-s---fn-	θεσσαλία	Θεσσαλίη	@
1.2.3	18	καλουμένη	t_246	v-sppefn-	v-sppefn-	καλέω	καλέω	
1.2.3	19	καὶ	t_247	d--------	c--------	καί	καί	.
1.2.3	20	Βοιωτία	t_248	n-s---fn-	n-s---fn-	βοιωτία	Βοιωτία	.
1.2.3	21	Πελοποννήσου	t_249	n-s---fg-	n-s---fg-	πελοπόννησος	Πελοπόννησος	.
1.2.3	22	τε	t_250	d--------	d--------	τε	τε	
1.2.3	23	τὰ	t_251	l-p---na-	l-p---nn-	ὁ	ὁ	.
1.2.3	24	πολλὰ	t_252	a-p---na-	a-p---nn-	πολύς	πολύς	.
1.2.3	25	πλὴν	t_253	r--------	r--------	πλήν	πλήν	
1.2.3	26	Ἀρκαδίας	t_254	n-s---fg-	n-s---fg-	ἀρκαδία	Ἀρκαδία	.
1.2.3	27	,	t_255	u--------	u--------	,	punc1	
1.2.3	28	τῆς	t_256	l-s---fg-	l-s---fg-	ὁ	ὁ	
1.2.3	29	τε	t_257	c--------	c--------	τε	τε	
1.2.3	30	ἄλλης	t_258	p-s---fg-	p-s---fg-	ἄλλος	ἄλλος	
1.2.3	31	ὅσα	t_259	a-p---nn-	a-p---nn-	ὅσος	ὅσος	
1.2.3	32	ἦν	t_260	v3siia---	v3siia---	εἰμί	εἰμί	
1.2.3	33	κράτιστα	t_261	a-p---nn-	a-p---nn-	κράτιστος	κράτιστος	
1.2.3	34	.	t_262	u--------	u--------	.	punc1	
1.2.4	1	διὰ	t_263	r--------	r--------	διά	διά	
1.2.4	2	γὰρ	t_264	d--------	d--------	γάρ	γάρ	
1.2.4	3	ἀρετὴν	t_265	n-s---fa-	n-s---fa-	ἀρετή	ἀρετή	
1.2.4	4	γῆς	t_266	n-s---fg-	n-s---fg-	γῆ	γῆ	
1.2.4	5	αἵ	t_267	l-p---fn-	l-p---fn-	ὅς	ὁ	@
1.2.4	6	τε	t_268	d--------	d--------	τε	τε	
1.2.4	7	δυνάμεις	t_269	n-p---fn-	n-p---fn-	δύναμις	δύναμις	
1.2.4	8	τισὶ	t_270	a-p---fd-	p-p---md-	τις	τις	.
1.2.4	9	μείζους	t_271	a-p---fnc	a-p---fnc	μέγας	μέγας	
1.2.4	10	ἐγγιγνόμεναι	t_272	v-pppefn-	v-pppefn-	ἐγγίγνομαι	ἐγγίγνομαι	
1.2.4	11	στάσεις	t_273	n-p---fa-	n-p---fa-	στάσις	στάσις	
1.2.4	12	ἐνεποίουν	t_274	v3piia---	v3piia---	ἐμποιέω	ἐμποιέω	
1.2.4	13	ἐξ	t_275	r--------	r--------	ἐκ	ἐκ	
1.2.4	14	ὧν	t_276	p-p---fg-	p-p---fg-	ὅς	ὅς	
1.2.4	15	ἐφθείροντο	t_277	v3piie---	v3piie---	φθείρω	φθείρω	
1.2.4	16	,	t_278	u--------	u--------	,	punc1	
1.2.4	17	καὶ	t_279	c--------	c--------	καί	καί	
1.2.4	18	ἅμα	t_280	d--------	d--------	ἅμα	ἅμα	
1.2.4	19	ὑπὸ	t_281	r--------	r--------	ὑπό	ὑπό	
1.2.4	20	ἀλλοφύλων	t_282	a-p---mg-	a-p---mg-	ἀλλόφυλος	ἀλλόφυλος	
1.2.4	21	μᾶλλον	t_283	d--------	d--------	μᾶλλον	μᾶλλον	
1.2.4	22	ἐπεβουλεύοντο	t_284	v3piie---	v3piie---	ἐπιβουλεύω	ἐπιβουλεύω	
1.2.4	23	.	t_285	u--------	u--------	.	punc1	
1.2.5	1	τὴν	t_286	l-s---fa-	l-s---fa-	ὁ	ὁ	
1.2.5	2	γοῦν	t_287	d--------	d--------	γοῦν	γοῦν	
1.2.5	3	Ἀττικὴν	t_288	n-s---fa-	n-s---fa-	ἀττική	Ἀττική	.
1.2.5	4	ἐκ	t_289	r--------	r--------	ἐκ	ἐκ	
1.2.5	5	τοῦ	t_290	l-s---ng-	l-s---ng-	ὁ	ὁ	
1.2.5	6	ἐπὶ	t_291	r--------	r--------	ἐπί	ἐπί	
1.2.5	7	πλεῖστον	t_292	a-s---na-	a-s---na-	πλεῖστος	πλεῖστος	
1.2.5	8	διὰ	t_293	r--------	r--------	διά	διά	
1.2.5	9	τὸ	t_294	l-s---na-	l-s---na-	ὁ	ὁ	
1.2.5	10	λεπτόγεων	t_295	n-p---fg-	a-s---na-	λεπτόγεως	λεπτόγειος	@
1.2.5	11	ἀστασίαστον	t_296	a-s---fa-	a-s---fa-	ἀστασίαστος	ἀστασίαστος	
1.2.5	12	οὖσαν	t_297	v-sppafa-	v-sppafa-	εἰμί	εἰμί	
1.2.5	13	ἄνθρωποι	t_298	n-p---mn-	n-p---mn-	ἄνθρωπος	ἄνθρωπος	
1.2.5	14	ᾤκουν	t_299	v3piia---	v3piia---	οἰκέω	οἰκέω	
1.2.5	15	οἱ	t_300	l-p---mn-	l-p---mn-	ὁ	ὁ	
1.2.5	16	αὐτοὶ	t_301	a-p---mn-	a-p---mn_	αὐτός	αὐτός	.
1.2.5	17	αἰεί	t_302	d--------	d--------	ἀεί	ἀεί	
1.2.5	18	.	t_303	u--------	u--------	.	punc1	
1.2.6	1	καὶ	t_304	d--------	d--------	καί	καί	
1.2.6	2	παράδειγμα	t_305	n-s---nn-	n-s---nn-	παράδειγμα	παράδειγμα	
1.2.6	3	τόδε	t_306	a-s---na-	a-s---nn_	ὅδε	ὅδε	.
1.2.6	4	τοῦ	t_307	l-s---mg-	l-s---mg-	ὁ	ὁ	
1.2.6	5	λόγου	t_308	n-s---mg-	n-s---mg-	λόγος	λόγος	
1.2.6	6	οὐκ	t_309	d--------	d--------	οὐ	οὐ	
1.2.6	7	ἐλάχιστόν	t_310	a-s---nn-	a-s---nn-	ἐλάχιστος	ἐλάχιστος	
1.2.6	8	ἐστι	t_311	v3spia---	v3spia---	εἰμί	εἰμί	
1.2.6	9	διὰ	t_312	r--------	r--------	διά	διά	
1.2.6	10	τὰς	t_313	l-p---fa-	l-p---fa-	ὁ	ὁ	
1.2.6	11	μετοικίας	t_314	n-p---fa-	n-p---fa-	μετοικία	μετοικία	
1.2.6	12	ἐς	t_315	r--------	r--------	εἰς	εἰς	
1.2.6	13	τὰ	t_316	l-p---na-	l-p---na-	ὁ	ὁ	
1.2.6	14	ἄλλα	t_317	p-p---na-	p-p---na-	ἄλλος	ἄλλος	
1.2.6	15	μὴ	t_318	d--------	d--------	μή	μή	
1.2.6	16	ὁμοίως	t_319	d--------	d--------	ὅμοιος	ὁμοῖος	.
1.2.6	17	αὐξηθῆναι	t_320	v--anp---	v--anp---	αὐξάνω	αὐξάνω	
1.2.6	18	·	t_321	u--------	u--------	·	punc1	
1.2.6	19	ἐκ	t_322	r--------	r--------	ἐκ	ἐκ	
