ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	πρῶτον	t_1	103073131	a-s---na-	a-s---na-	a-s---na-	πρῶτος	πρῶτος	πρῶτος	||
1	2	μέν	t_2	103073132	d--------	g--------	d--------	μέν	μέν	μέν	||
1	3	,	t_3	103073133	u--------	u--------	u--------	,	,	,	||
1	4	ὦ	t_4	103073134	i--------	i--------	i--------	ὦ	ὦ	ὦ	||
1	5	ἄνδρες	t_5	103073135	n-p---mv-	n-p---mv-	n-p---mv-	ἀνήρ	ἀνήρ	ἀνήρ	||
1	6	Ἀθηναῖοι	t_6	103073136	a-p---mv-	a-p---mv-	a-p---mv-	ἀθηναῖος	Ἀθηναῖος	Ἀθηναῖος	||
1	7	,	t_7	103073137	u--------	u--------	u--------	,	,	,	||
1	8	τοῖς	t_8	103073138	l-p---md-	l-p---md-	l-p---md-	ὁ	ὁ	ὁ	||
1	9	θεοῖς	t_9	103073139	n-p---md-	n-p---md-	n-p---md-	θεός	θεός	θεός	||
1	10	εὔχομαι	t_10	103073140	v1spie---	v1spim---	v1spie---	εὔχομαι	εὔχομαι	εὔχομαι	||
1	11	πᾶσι	t_11	103073141	a-p---md-	p-p---md-	a-p---md-	πᾶς	πᾶς	πᾶς	||
1	12	καὶ	t_12	103073142	c--------	c--------	c--------	καί	καί	καί	||
1	13	πάσαις	t_13	103073143	a-p---fd-	p-p---fd-	a-p---fd-	πᾶς	πᾶς	πᾶς	||
1	14	,	t_14	103073144	u--------	u--------	u--------	,	,	,	||
1	15	ὅσην	t_15	103073145	a-s---fa-	p-s---fa-	a-s---fa-	ὅσος	ὅσος	ὅσος	||
1	16	εὔνοιαν	t_16	103073146	n-s---fa-	n-s---fa-	n-s---fa-	εὔνοια	εὔνοια	εὔνοια	||
1	17	ἔχων	t_17	103073147	v-sppamn-	v-sppamn-	v-sppamn-	ἔχω	ἔχω	ἔχω	||
1	18	ἐγὼ	t_18	103073148	p1s---mn-	p-s---cn-	p1s---mn-	ἐγώ	ἐγώ	ἐγώ	||
1	19	διατελῶ	t_19	103073149	v1spia---	v1spia---	v1spia---	διατελέω	διατελέω	διατελέω	||
1	20	τῇ	t_20	103073150	l-s---fd-	l-s---fd-	l-s---fd-	ὁ	ὁ	ὁ	||
1	21	τε	t_21	103073151	d--------	c--------	d--------	τε	τε	τε	||
1	22	πόλει	t_22	103073152	n-s---fd-	n-s---fd-	n-s---fd-	πόλις	πόλις	πόλις	||
1	23	καὶ	t_23	103073153	c--------	c--------	c--------	καί	καί	καί	||
