ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	τὴν	t_1	103139865	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
1	2	μὲν	t_2	103139866	d--------	g--------		μέν	μέν		m|m|
1	3	ἀσέλγειαν	t_3	103139867	n-s---fa-	n-s---fa-		ἀσέλγεια	ἀσέλγεια		m|m|
1	4	,	t_4	103139868	u--------	u--------		,	,		m|m|
1	5	ὦ	t_5	103139869	i--------	i--------		ὦ	ὦ		m|m|
1	6	ἄνδρες	t_6	103139870	n-p---mv-	n-p---mv-		ἀνήρ	ἀνήρ		m|m|
1	7	δικασταί	t_7	103139871	n-p---mv-	n-p---mv-		δικαστής	δικαστής		m|m|
1	8	,	t_8	103139872	u--------	u--------		,	,		m|m|
1	9	καὶ	t_9	103139873	c--------	c--------		καί	καί		m|m|
1	10	τὴν	t_10	103139874	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
1	11	ὕβριν	t_11	103139875	n-s---fa-	n-s---fa-		ὕβρις	ὕβρις		m|m|
1	12	,	t_12	103139876	u--------	u--------		,	,		m|m|
1	13	ᾗ	t_13	103139877	p-s---fd-	p-s---fd-		ὅς	ὅς		m|m|
1	14	πρὸς	t_14	103139878	r--------	r--------		πρός	πρός		m|m|
1	15	ἅπαντας	t_15	103139879	a-p---ma-	p-p---ma-		ἅπας	ἅπας		m|m|
1	16	ἀεὶ	t_16	103139880	d--------	d--------		ἀεί	ἀεί		m|m|
1	17	χρῆται	t_17	103139881	v3spie---	v3spim---		χράομαι	χράω		m|m|@
1	18	Μειδίας	t_18	103139882	n-s---mn-	n-s---mn-		μειδίας	Μειδίας		m|m|
1	19	,	t_19	103139883	u--------	u--------		,	,		m|m|
1	20	οὐδένʼ	t_20	103139884	p-s---ma-	p-s---ma-		οὐδείς	οὐδείς		m|m|
