token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	πολύς	a-p---na-	πολύς	πολύς	a-p---na-	a-p---na-	
2	καί	c--------	καί	καί	c--------	c--------	
3	δεινός	a-p---na-	δεινός	δεινός	a-p---na-	a-p---na-	
4	σύνοιδα	v-srpamn-	σύνοιδα	σύνοιδα	v-srpamn-	v-srpamn-	
5	Σίμων	n-s---md-	σίμων	Σίμων	n-s---md-	n-s---md-	
6	,	u--------	,	,	u--------	u--------	
7	ὦ	i--------	ὦ	ὦ	i--------	i--------	
8	βουλή	n-s---fv-	βουλή	βουλή	n-s---fv-	n-s---fv-	
9	,	u--------	,	,	u--------	u--------	
10	οὐ	d--------	οὐ	οὐ	d--------	d--------	
11	ἄν	g--------	ἄν	ἄν	d--------	g--------	
12	ποτέ	d--------	ποτέ	ποτέ	d--------	d--------	
13	αὐτός	p-s---ma-	αὐτός	αὐτός	p-s---ma-	p-s---ma-	
14	εἰς	r--------	εἰς	εἰς	r--------	r--------	
15	τοσοῦτος	p-s---na-	τοσοῦτος	τοσοῦτος	p-s---na-	p-s---na-	
16	τόλμα	n-s---fg-	τόλμα	τόλμα	n-s---fg-	n-s---fg-	
17	ἡγέομαι	v1saim---	ἡγέομαι	ἡγέομαι	v1saim---	v1saim---	
18	ἀφικνέομαι	v--anm---	ἀφικνέομαι	ἀφικνέομαι	v--anm---	v--anm---	
19	,	u--------	,	,	u--------	u--------	
20	ὥστε	c--------	ὥστε	ὥστε	c--------	c--------	
21	ὑπέρ	r--------	ὑπέρ	ὑπέρ	r--------	r--------	
22	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
23	αὐτός	p-s---ma-	αὐτός	αὐτός	p-s---ma-	p-s---ma-	
24	δέω	v3siia---	δεῖ	δέω	v3siia---	v3siia---	DISAGREE
25	δίδωμι	v--ana---	δίδωμι	δίδωμι	v--ana---	v--ana---	
26	δίκη	n-s---fa-	δίκη	δίκη	n-s---fa-	n-s---fa-	
27	,	u--------	,	,	u--------	u--------	
28	ὑπέρ	r--------	ὑπέρ	ὑπέρ	r--------	r--------	
29	οὗτος	p-p---ng-	οὗτος	οὗτος	p-p---ng-	p-p---ng-	
30	ὡς	c--------	ὡς	ὡς	d--------	c--------	
31	ἀδικέω	v-sppmma-	ἀδικέω	ἀδικέω	v-sppema-	v-sppmma-	
32	ἔγκλημα	n-s---na-	ἔγκλημα	ἔγκλημα	n-s---na-	n-s---na-	
33	ποιέω	v--anm---	ποιέω	ποιέω	v--anm---	v--anm---	
34	καί	c--------	καί	καί	c--------	c--------	
35	οὕτως	d--------	οὕτως	οὕτως	d--------	d--------	
36	μέγας	a-s---ma-	μέγας	μέγας	a-s---ma-	a-s---ma-	
37	καί	c--------	καί	καί	c--------	c--------	
38	σεμνός	a-s---ma-	σεμνός	σεμνός	a-s---ma-	a-s---ma-	
39	ὅρκος	n-s---ma-	ὅρκος	ὅρκος	n-s---ma-	n-s---ma-	
40	διόμνυμι	v-sapmma-	διόμνυμι	διόμνυμι	v-sapmma-	v-sapmma-	
41	εἰς	r--------	εἰς	εἰς	r--------	r--------	
42	σύ	p-p---ca-	σύ	σύ	p-p---ma-	p-p---ca-	
43	ἔρχομαι	v--ana---	ἔρχομαι	ἔρχομαι	v--ana---	v--ana---	
44	.	u--------	.	.	u--------	u--------	
45	εἰ	c--------	εἰ	εἰ	c--------	c--------	
46	μέν	g--------	μέν	μέν	d--------	g--------	
47	οὖν	g--------	οὖν	οὖν	d--------	g--------	
48	ἄλλος	p-p---mn-	ἄλλος	ἄλλος	a-p---mn-	p-p---mn-	
49	τις	p-p---cn-	τις	τις	p-p---cn-	p-p---cn-	
50	μέλλω	v3piia---	μέλλω	μέλλω	v3piia---	v3piia---	
51	περί	r--------	περί	περί	r--------	r--------	
52	ἐγώ	p-s---cg-	ἐγώ	ἐγώ	p-s---mg-	p-s---cg-	
53	διαγιγνώσκω	v--fnm---	διακρίνω	διαγιγνώσκω	v--fnm---	v--fnm---	DISAGREE
54	,	u--------	,	,	u--------	u--------	
55	σφόδρα	d--------	σφόδρα	σφόδρα	d--------	d--------	
56	ἄν	g--------	ἄν	ἄν	d--------	g--------	
57	φοβέω	v1siim---	φοβέω	φοβέω	v1siie---	v1siim---	
58	ὁ	l-s---ma-	ὁ	ὁ	l-s---ma-	l-s---ma-	
59	κίνδυνος	n-s---ma-	κίνδυνος	κίνδυνος	n-s---ma-	n-s---ma-	
60	,	u--------	,	,	u--------	u--------	
61	ὁράω	v-sppamn-	ὁράω	ὁράω	v-sppamn-	v-sppamn-	
62	ὅτι	c--------	ὅτι	ὅτι	c--------	c--------	
63	καί	c--------	καί	καί	d--------	c--------	
64	παρασκευή	n-p---fn-	παρασκευή	παρασκευή	n-p---fn-	n-p---fn-	
65	καί	c--------	καί	καί	c--------	c--------	
66	τύχη	n-p---fn-	τύχη	τύχη	n-p---fn-	n-p---fn-	
67	ἐνίοτε	d--------	ἐνίοτε	ἐνίοτε	d--------	d--------	
68	τοιοῦτος	p-p---fn-	τοιοῦτος	τοιοῦτος	a-p---fn-	p-p---fn-	
69	γίγνομαι	v3ppim---	γίγνομαι	γίγνομαι	v3ppie---	v3ppim---	
70	,	u--------	,	,	u--------	u--------	
71	ὥστε	c--------	ὥστε	ὥστε	c--------	c--------	
72	πολύς	a-p---na-	πολύς	πολύς	a-p---na-	a-p---na-	
73	καί	c--------	καί	καί	d--------	c--------	
74	παρά	r--------	παρά	παρά	r--------	r--------	
75	γνώμη	n-s---fa-	γνώμη	γνώμη	n-s---fa-	n-s---fa-	
76	ἀποβαίνω	v--pna---	ἀποβαίνω	ἀποβαίνω	v--pna---	v--pna---	
77	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
78	κινδυνεύω	v-pppamd-	κινδυνεύω	κινδυνεύω	v-pppamd-	v-pppamd-	
79	·	u--------	·	·	u--------	u--------	
80	εἰς	r--------	εἰς	εἰς	r--------	r--------	
81	σύ	p-p---ca-	σύ	σύ	p-p---ma-	p-p---ca-	
82	δέ	c--------	δέ	δέ	d--------	c--------	
83	εἰσέρχομαι	v-sapamn-	εἰσέρχομαι	εἰσέρχομαι	v-sapamn-	v-sapamn-	
84	ἐλπίζω	v1spia---	ἐλπίζω	ἐλπίζω	v1spia---	v1spia---	
85	ὁ	l-p---ng-	ὁ	ὁ	l-p---ng-	l-p---ng-	
