token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	εἰ	c--------	εἰ	εἰ	c--------	c--------	
2	μέν	g--------	μέν	μέν	d--------	g--------	
3	ἡγέομαι	v1siim---	ἡγέομαι	ἡγέομαι	v1siim---	v1siim---	
4	οἷος	p-s---na-	οἷος	οἷος	a-s---na-	p-s---na-	
5	τε	g--------	τε	τε	d--------	g--------	
6	εἰμί	v--pna---	εἰμί	εἰμί	v--pna---	v--pna---	
7	,	u--------	,	,	u--------	u--------	
8	ὦ	i--------	ὦ	ὦ	i--------	i--------	
9	πάρειμι	v-pppamv-	πάρειμι1	πάρειμι	v-pppamv-	v-pppamv-	
10	ἐπί	r--------	ἐπί	ἐπί	r--------	r--------	
11	ὅδε	p-s---md-	ὅδε	ὅδε	a-s---md-	p-s---md-	
12	ὁ	l-s---md-	ὁ	ὁ	l-s---md-	l-s---md-	
13	τάφος	n-s---md-	τάφος	τάφος	n-s---md-	n-s---md-	
14	,	u--------	,	,	u--------	u--------	
15	λόγος	n-s---md-	λόγος	λόγος	n-s---md-	n-s---md-	
16	δηλόω	v--ana---	δηλόω	δηλόω	v--ana---	v--ana---	
17	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
18	ὁ	l-p---mg-	ὁ	ὁ	l-p---mg-	l-p---mg-	
19	ἐνθάδε	d--------	ἐνθάδε	ἐνθάδε	d--------	d--------	
20	κεῖμαι	v-prpmmg-	κεῖμαι	κεῖμαι	v-prpemg-	v-prpmmg-	
21	ἀνήρ	n-p---mg-	ἀνήρ	ἀνήρ	n-p---mg-	n-p---mg-	
22	ἀρετή	n-s---fa-	ἀρετή	ἀρετή	n-s---fa-	n-s---fa-	
23	,	u--------	,	,	u--------	u--------	
24	μέμφομαι	v1saim---	μέμφομαι	μέμφομαι	v1saim---	v1saim---	
25	ἄν	g--------	ἄν	ἄν	d--------	g--------	
26	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
27	ἐπαγγέλλω	v-papamd-	ἐπαγγέλλω	ἐπαγγέλλω	v-papamd-	v-papamd-	
28	ἐπί	r--------	ἐπί	ἐπί	r--------	r--------	
29	αὐτός	p-p---md-	αὐτός	αὐτός	p-p---md-	p-p---md-	
30	ἐκ	r--------	ἐκ	ἐκ	r--------	r--------	
31	ὀλίγος	a-p---fg-	ὀλίγος	ὀλίγος	a-p---fg-	a-p---fg-	
32	ἡμέρα	n-p---fg-	ἡμέρα	ἡμέρα	n-p---fg-	n-p---fg-	
33	λέγω	v--pna---	λέγω3	λέγω	v--pna---	v--pna---	
34	·	u--------	·	·	u--------	u--------	
35	ἐπειδή	c--------	ἐπεί	ἐπειδή	c--------	c--------	DISAGREE
36	δέ	c--------	δέ	δέ	d--------	c--------	
37	πᾶς	p-p---md-	πᾶς	πᾶς	a-p---md-	p-p---md-	
38	ἄνθρωπος	n-p---md-	ἄνθρωπος	ἄνθρωπος	n-p---md-	n-p---md-	
39	ὁ	l-s---mn-	ὁ	ὁ	l-s---mn-	l-s---mn-	
40	πᾶς	p-s---mn-	πᾶς	πᾶς	a-s---mn-	p-s---mn-	
