token_id	text
1	εἰ
2	μὲν
3	ἡγούμην
4	οἷόν
5	τε
6	εἶναι
7	,
8	ὦ
9	παρόντες
10	ἐπὶ
11	τῷδε
12	τῷ
13	τάφῳ
14	,
15	λόγῳ
16	δηλῶσαι
17	τὴν
18	τῶν
19	ἐνθάδε
20	κειμένων
21	ἀνδρῶν
22	ἀρετήν
23	,
24	ἐμεμψάμην
25	ἂν
26	τοῖς
27	ἐπαγγείλασιν
28	ἐπ’
29	αὐτοῖς
30	ἐξ
31	ὀλίγων
32	ἡμερῶν
33	λέγειν
34	·
35	ἐπειδὴ
36	δὲ
37	πᾶσιν
38	ἀνθρώποις
39	ὁ
40	πᾶς
41	χρόνος
42	οὐχ
43	ἱκανὸς
44	λόγον
45	ἴσον
46	παρασκευάσαι
47	τοῖς
48	τούτων
49	ἔργοις
50	,
51	διὰ
52	τοῦτο
53	καὶ
54	ἡ
55	πόλις
56	μοι
57	δοκεῖ
58	,
59	προνοουμένη
60	τῶν
61	ἐνθάδε
62	λεγόντων
63	,
64	ἐξ
65	ὀλίγου
66	τὴν
67	πρόσταξιν
68	ποιεῖσθαι
69	,
70	ἡγουμένη
71	οὕτως
72	ἂν
73	μάλιστα
74	συγγνώμης
75	αὐτοὺς
76	παρὰ
77	τῶν
78	ἀκουσάντων
79	τυγχάνειν
80	.
81	ὅμως
82	δὲ
83	ὁ
84	μὲν
85	λόγος
86	μοι
87	περὶ
88	τούτων
89	,
90	ὁ
91	δ’
92	ἀγὼν
93	οὐ
94	πρὸς
95	τὰ
96	τούτων
97	ἔργα
98	ἀλλὰ
99	πρὸς
100	τοὺς
101	πρότερον
102	ἐπ’
103	αὐτοῖς
104	εἰρηκότας
105	.
106	τοσαύτην
107	γὰρ
108	ἀφθονίαν
109	παρεσκεύασεν
110	ἡ
111	τούτων
112	ἀρετὴ
113	καὶ
114	τοῖς
115	ποιεῖν
116	δυναμένοις
117	καὶ
118	τοῖς
119	εἰπεῖν
120	βουληθεῖσιν
121	,
122	ὥστε
123	καλὰ
124	μὲν
125	πολλὰ
126	τοῖς
127	προτέροις
128	περὶ
129	αὐτῶν
130	εἰρῆσθαι
131	,
132	πολλὰ
133	δὲ
134	καὶ
135	ἐκείνοις
136	παραλελεῖφθαι
137	,
138	ἱκανὰ
