token_id	text
1	εἰ
2	μὲν
3	περὶ
4	ἄλλου
5	τινὸς
6	ἢ
7	τοῦ
8	σώματος
9	,
10	ὦ
11	ἄνδρες
12	δικασταί
13	,
14	Καλλίας
15	ἠγωνίζετο
16	,
17	ἐξήρκει
18	ἄν
19	μοι
20	καὶ
21	τὰ
22	παρὰ
23	τῶν
24	ἄλλων
25	εἰρημένα
26	·
27	νῦν
28	δέ
29	μοι
30	δοκεῖ
31	αἰσχρὸν
32	εἶναι
33	,
34	κελεύοντος
35	καὶ
36	δεομένου
37	,
38	καὶ
39	φίλου
40	ὄντος
41	καὶ
42	ἐμοὶ
43	καὶ
44	ἕως
45	ἔζη
46	τῷ
47	πατρί
48	,
49	καὶ
50	πολλῶν
51	συμβολαίων
52	ἡμῖν
53	πρὸς
54	ἀλλήλους
55	γεγενημένων
56	,
57	μὴ
58	βοηθῆσαι
59	Καλλία
60	τὰ
61	δίκαια
62	,
63	ὅπως
64	ἂν
65	δύνωμαι
66	.
67	ἐνόμιζον
68	μὲν
69	οὖν
70	οὕτως
71	μετοικεῖν
72	αὐτὸν
73	ἐν
74	ταύτῃ
75	τῇ
76	πόλει
77	,
78	ὥστε
79	πολὺ
80	πρότερον
81	ἀγαθοῦ
82	τινος
83	τεύξεσθαι
84	παρ’
85	ὑμῶν
86	ἢ
87	ἐπὶ
88	τοιαύταις
89	αἰτίαις
90	εἰς
91	τοσοῦτον
92	κίνδυνον
93	καταστήσεσθαι
94	·
95	νῦν
96	δὲ
97	οἱ
98	ἐπιβουλεύοντες
99	οὐχ
100	ἧττον
101	ἐπικίνδυνον
102	ποιοῦσι
103	τὸν
104	βίον
105	τοῖς
106	μηδὲν
107	ἀδικοῦσιν
108	ἢ
109	τοῖς
110	πολλῶν
111	κακῶν
112	αἰτίοις
113	οὖσιν
114	.
115	ὑμᾶς
116	δὲ
117	ἄξιον
118	μὴ
119	τοὺς
120	μὲν
121	τῶν
122	θεραπόντων
123	λόγους
124	πιστοὺς
125	νομίζειν
126	,
127	τοὺς
128	δὲ
129	τούτων
130	ἀπίστους
131	,
132	ἐνθυμουμένους
133	ὅτι
134	Καλλίᾳ
135	μὲν
136	οὐδεὶς
137	πώποτε
138	οὔτ’
139	ἰδιώτης
140	ἐνεκάλεσεν
141	οὔ
142	τε
143	ἄρχων
144	,
145	οἰκῶν
146	δ’
147	ἐν
148	ταύτῃ
149	τῇ
150	πόλει
151	πολλὰ
152	μὲν
153	ἀγαθὰ
154	ὑμᾶς
155	ἐποίησεν
156	,
157	οὐδεμίαν
158	δὲ
159	σχὼν
160	αἰτίαν
161	εἰς
162	τοῦτο
163	τῆς
164	ἡλικίας
165	ἀφῖκται
166	,
167	οὗτοι
168	δὲ
169	ἐν
170	ἅπαντι
171	τῷ
172	βίῳ
173	μεγάλα
174	ἡμαρτηκότες
175	καὶ
176	πολλῶν
177	κακῶν
178	πεπειραμένοι
179	,
180	ὥσπερ
181	ἀγαθοῦ
182	τινος
183	αἴτιοι
184	γεγενημένοι
185	περὶ
186	ἐλευθερίας
187	νυνὶ
188	ποιοῦνται
189	τοὺς
190	λόγους
191	.
192	καὶ
193	οὐ
194	θαυμάζω
195	·
196	ἴσασι
197	γὰρ
198	ὅτι
199	,
200	ἐὰν
201	μὲν
202	ψευδόμενοι
203	ἐλεγχθῶσιν
204	,
205	οὐδὲν
206	μεῖζον
207	τῶν
208	ὑπαρχόντων
209	πείσονται
210	,
211	ἐὰν
212	δὲ
213	ἐξαπατήσωσι
214	,
215	τῶν
216	παρόντων
217	κακῶν
218	ἔσονται
219	ἀπηλλαγμένοι
220	.
221	καίτοι
222	τοὺς
223	τοιούτους
224	οὔ
225	τε
226	κατηγόρους
227	οὔ
228	τε
229	μάρτυρας
230	πιστοὺς
231	χρὴ
232	νομίζειν
233	εἶναι
234	,
235	οἵτινες
236	αὐτοὶ
237	μεγάλα
238	κερδαίνοντες
239	περὶ
240	ἑτέρων
241	ποιοῦνται
242	τοὺς
243	λόγους
244	,
245	ἀλλὰ
246	πολὺ
247	μᾶλλον
248	ὅσοι
249	τῷ
250	δημοσίῳ
251	βοηθοῦντες
252	εἰς
253	κινδύνους
254	σφᾶς
255	αὐτοὺς
256	καθιστᾶσιν
257	.
258	ἄξιον
259	δέ
260	μοι
261	δοκεῖ
262	εἶναι
263	οὐ
264	τούτων
265	ἴδιον
266	ἡγεῖσθαι
267	τὸν
268	ἀγῶνα
269	,
270	ἀλλὰ
271	κοινὸν
272	ἁπάντων
273	τῶν
274	ἐν
275	τῇ
276	πόλει
277	·
278	οὐ
279	γὰρ
280	τούτοις
281	μόνοις
282	εἰσὶ
283	θεράποντες
284	,
285	ἀλλὰ
286	καὶ
287	τοῖς
288	ἄλλοις
289	ἅπασιν
290	,
291	οἳ
292	πρὸς
293	τὴν
294	τούτων
295	τύχην
296	ἀποβλέποντες
297	οὐκέτι
298	σκέψονται
299	ὅ
300	τι
301	ἂν
302	ἀγαθὸν
303	εἰργασμένοι
304	τοὺς
305	δεσπότας
306	ἐλεύθεροι
307	γένοιντο
308	,
309	ἀλλ’
310	ὅ
311	τι
312	ψεῦδος
313	περὶ
314	αὐτῶν
315	μηνύσαντες
