token_id	text
1	εἰ
2	μὲν
3	μὴ
4	μεγάλα
5	ἦν
6	τὰ
7	διαφέροντα
8	,
9	ὦ
10	ἄνδρες
11	δικασταί
12	,
13	οὐκ
14	ἄν
15	ποτε
16	εἰς
17	ὑμᾶς
18	εἰσελθεῖν
19	τούτους
20	εἴασα
21	,
22	νομίζων
23	αἴσχιστον
24	εἶναι
25	πρὸς
26	τοὺς
27	οἰκείους
28	διαφέρεσθαι
29	,
30	εἰδώς
31	τε
32	ὅτι
33	οὐ
34	μόνον
35	οἱ
36	ἀδικοῦντες
37	χείρους
38	ὑμῖν
39	εἶναι
40	δοκοῦσιν
41	,
42	ἀλλὰ
43	καὶ
44	οἵτινες
45	ἂν
46	ἔλαττον
47	ὑπὸ
48	τῶν
49	προσηκόντων
50	ἔχοντες
51	ἀνέχεσθαι
52	μὴ
53	δύνωνται
54	·
55	ἐπειδὴ
56	μέντοι
57	,
58	ὦ
59	ἄνδρες
60	δικασταί
61	,
62	πολλῶν
63	χρημάτων
64	ἀπεστέρηνται
65	καὶ
66	πολλὰ
67	καὶ
68	δεινὰ
69	πεπονθότες
70	ὑφ’
71	ὧν
72	ἥκιστα
73	ἐχρῆν
74	,
75	ἐπ’
76	ἐμὲ
77	κηδεστὴν
78	ὄντα
79	κατέφυγον
80	,
81	ἀνάγκη
82	μοι
83	γεγένηται
84	εἰπεῖν
85	ὑπὲρ
86	αὐτῶν
87	.
88	ἔχω
89	δὲ
90	τούτων
91	μὲν
92	ἀδελφήν
93	,
94	Διογείτονος
95	δὲ
96	θυγατριδῆν
97	,
98	καὶ
99	πολλὰ
100	δεηθεὶς
101	ἀμφοτέρων
102	τὸ
103	μὲν
104	πρῶτον
105	ἔπεισα
106	τοῖς
107	φίλοις
108	ἐπιτρέψαι
109	δίαιταν
110	,
111	περὶ
112	πολλοῦ
113	ποιούμενος
114	τὰ
115	τούτων
116	πράγματα
117	μηδένα
118	τῶν
119	ἄλλων
120	εἰδέναι
121	·
122	ἐπειδὴ
123	δὲ
124	Διογείτων
125	ἃ
126	φανερῶς
127	ἔχων
128	ἐξηλέγχετο
129	,
130	περὶ
131	τούτων
132	οὐδενὶ
133	τῶν
134	αὑτοῦ
135	φίλων
136	ἐτόλμα
137	πείθεσθαι
138	,
