token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	ἴσως	d--------	ἴσως	ἴσως	d--------	d--------	
2	τις	p-p---cn-	τις	τις	p-p---mn-	p-p---cn-	
3	σύ	p-p---cg-	σύ	σύ	p-p---mg-	p-p---cg-	
4	,	u--------	,	,	u--------	u--------	
5	ὦ	i--------	ὦ	ὦ	i--------	i--------	
6	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
7	δικαστής	n-p---mv-	δικαστής	δικαστής	n-p---mv-	n-p---mv-	
8	,	u--------	,	,	u--------	u--------	
9	διά	r--------	διά	διά	r--------	r--------	
10	ὁ	l-s---na-	ὁ	ὁ	l-s---na-	l-s---na-	
11	βούλομαι	v--pnm---	βούλομαι	βούλομαι	v--pne---	v--pnm---	
12	ἐγώ	p-s---ca-	ἐγώ	ἐγώ	p1s---ma-	p-s---ca-	
13	ἄξιος	a-s---ma-	ἄξιος	ἄξιος	a-s---ma-	a-s---ma-	
14	εἰμί	v--pna---	εἰμί	εἰμί	v--pna---	v--pna---	
15	τις	p-s---ng-	τις	τις	p-s---mg-	p-s---ng-	
16	ἡγέομαι	v3ppim---	ἡγέομαι	ἡγέομαι	v3ppie---	v3ppim---	
17	καί	c--------	καί	καί	c--------	c--------	
18	λέγω	v--ana---	εἶπον	λέγω	v--ana---	v--ana---	DISAGREE
19	ἄν	g--------	ἄν	ἄν	d--------	g--------	
20	μάλα	d-------c	μᾶλλον	μάλα	d-------c	d-------c	DISAGREE
21	ἕτερος	p-s---mg-	ἕτερος	ἕτερος	a-s---mg-	p-s---mg-	
22	δύναμαι	v--pnm---	δύναμαι	δύναμαι	v--pne---	v--pnm---	
23	·	u--------	·	·	u--------	u--------	
24	ἐγώ	p-s---cn-	ἐγώ	ἐγώ	p1s---cn-	p-s---cn-	
25	δέ	c--------	δέ	δέ	d--------	c--------	
26	τοσοῦτος	p-s---ng-	τοσοῦτος	τοσοῦτος	p-s---ng-	p-s---ng-	
27	δέω	v1spia---	δέω	δέω	v1spia---	v1spia---	
28	περί	r--------	περί	περί	r--------	r--------	
29	ὁ	l-p---ng-	ὁ	ὁ	l-p---ng-	l-p---ng-	
30	μή	d--------	μή	μή	d--------	d--------	
31	,	u--------	,	,	u--------	u--------	
32	προσήκω	v-pppang-	προσήκω	προσήκω	v-pppang-	v-pppang-	
33	ἱκανός	a-s---mn-	ἱκανός	ἱκανός	a-s---mn-	a-s---mn-	
34	εἰμί	v--pna---	εἰμί	εἰμί	v--pna---	v--pna---	
35	λέγω	v--pna---	λέγω3	λέγω	v--pna---	v--pna---	
36	,	u--------	,	,	u--------	u--------	
37	ὥστε	c--------	ὥστε	ὥστε	c--------	c--------	
38	δείδω	v1sria---	δείδω	δείδω	v1sria---	v1sria---	
39	μή	d--------	μή	μή	d--------	d--------	
40	,	u--------	,	,	u--------	u--------	
41	καί	c--------	καί	καί	c--------	c--------	
42	περί	r--------	περί	περί	r--------	r--------	
43	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
44	ἀναγκαῖος	a-s---nn-	ἀναγκαῖος	ἀναγκαῖος	a-s---nn-	a-s---nn-	
45	ἐγώ	p-s---cd-	ἐγώ	ἐγώ	p1s---cd-	p-s---cd-	
46	εἰμί	v3spia---	εἰμί	εἰμί	v3spia---	v3spia---	
47	λέγω	v--pna---	λέγω3	λέγω	v--pna---	v--pna---	
48	,	u--------	,	,	u--------	u--------	
49	ἀδύνατος	a-s---mn-	ἀδύνατος	ἀδύνατος	a-s---mn-	a-s---mn-	
50	εἰμί	v1spsa---	ὦ	εἰμί	v3spsa---	v1spsa---	DISAGREE
51	ὁ	l-p---na-	ὁ	ὁ	l-p---na-	l-p---na-	
52	δέω	v-pppana-	δέω2	δέω	v-pppana-	v-pppana-	
53	λέγω	v--ana---	εἶπον	λέγω	v--ana---	v--ana---	DISAGREE
54	.	u--------	.	.	u--------	u--------	
55	οἴμη	n-s---fd-	οἴμη	οἴμη	v1spie---	n-s---fd-	
56	μέν	g--------	μέν	μέν	d--------	g--------	
57	οὖν	g--------	οὖν	οὖν	d--------	g--------	
58	,	u--------	,	,	u--------	u--------	
59	ἐάν	c--------	ἐάν	ἐάν	c--------	c--------	
60	πᾶς	p-p---na-	πᾶς	πᾶς	a-p---na-	p-p---na-	
61	διηγέομαι	v1sasm---	διηγέομαι	διηγέομαι	v1sasm---	v1sasm---	
62	ὁ	l-p---na-	ὁ	ὁ	l-p---na-	l-p---na-	
63	πράσσω	v-prpmna-	πράσσω	πράσσω	v-prpena-	v-prpmna-	
64	ἐγώ	p-p---cd-	ἐγώ	ἐγώ	p1p---md-	p-p---cd-	
65	πρός	r--------	πρός	πρός	r--------	r--------	
66	Ἐράτων	n-s---ma-	ἐράτων	Ἐράτων	n-s---ma-	n-s---ma-	
67	καί	c--------	καί	καί	c--------	c--------	
68	ὁ	l-p---ma-	ὁ	ὁ	l-p---ma-	l-p---ma-	
69	ἐκεῖνος	p-s---mg-	ἐκεῖνος	ἐκεῖνος	p-s---mg-	p-s---mg-	
70	παῖς	n-p---ca-	παῖς	παῖς	n-p---ma-	n-p---ca-	
71	,	u--------	,	,	u--------	u--------	
72	ῥᾴδιος	d--------	ῥᾴδιος	ῥᾴδιος	d--------	d--------	
73	ἐκ	r--------	ἐκ	ἐκ	r--------	r--------	
74	αὐτός	p-p---mg-	αὐτός	αὐτός	p-p---mg-	p-p---mg-	
75	σύ	p-p---ca-	σύ	σύ	p-p---ma-	p-p---ca-	
76	εὑρίσκω	v--fna---	εὑρίσκω	εὑρίσκω	v--fna---	v--fna---	
77	ὅς	p-p---na-	ὅς	ὅς	p-p---na-	p-p---na-	
78	προσήκω	v3spia---	προσήκω	προσήκω	v3spia---	v3spia---	
79	σκοπέω	v--anm---	σκέπτομαι	σκοπέω	v--anm---	v--anm---	DISAGREE
80	περί	r--------	περί	περί	r--------	r--------	
81	οὗτος	p-s---fg-	οὗτος	οὗτος	a-s---fg-	p-s---fg-	
82	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
83	διαδικασία	n-s---fg-	διαδικασία	διαδικασία	n-s---fg-	n-s---fg-	
84	.	u--------	.	.	u--------	u--------	
85	ἐκ	r--------	ἐκ	ἐκ	r--------	r--------	
86	ἀρχή	n-s---fg-	ἀρχή	ἀρχή	n-s---fg-	n-s---fg-	
87	οὖν	g--------	οὖν	οὖν	d--------	g--------	
88	ἀκούω	v2pama---	ἀκούω	ἀκούω	v2pama---	v2pama---	
89	.	u--------	.	.	u--------	u--------	
90	ἐρατός	a-p---ng-	ἔρατος	ἐρατός	n-p---ng-	a-p---ng-	
91	ὁ	l-s---mn-	ὁ	ὁ	l-s---mn-	l-s---mn-	
92	Ἐρασιφών	n-s---mg-	ἐρασιφῶν	Ἐρασιφών	n-s---mg-	n-s---mg-	
93	πατήρ	n-s---mn-	πατήρ	πατήρ	n-s---mn-	n-s---mn-	
94	δανείζω	v3saim---	δανείζω	δανείζω	v3saim---	v3saim---	
95	παρά	r--------	παρά	παρά	r--------	r--------	
96	ὁ	l-s---mg-	ὁ	ὁ	l-s---mg-	l-s---mg-	
97	ἐμός	a-s---mg-	ἐγώ	ἐμός	a-s---mg-	a-s---mg-	DISAGREE
98	πάππης	n-s---mg-	πάππης	πάππης	n-s---mg-	n-s---mg-	
99	τάλαντον	n-p---na-	τάλαντον	τάλαντον	n-p---na-	n-p---na-	
100	δύο	m--------	δύο	δύο	m--------	m--------	
101	.	u--------	.	.	u--------	u--------	
102	ὅτι	c--------	ὅτι	ὅτι	c--------	c--------	
103	μέν	g--------	μέν	μέν	d--------	g--------	
104	οὖν	g--------	οὖν	οὖν	d--------	g--------	
105	λαμβάνω	v3saia---	λαμβάνω	λαμβάνω	v3saia---	v3saia---	
106	ὁ	l-s---na-	ὁ		l-s---na-		oga_only
107	ἀργύριον	n-s---na-	ἀργύριον		n-s---na-		oga_only
108	καί	c--------	καί	καί	c--------	c--------	
109	ὡς	c--------	ὡς	ὡς	c--------	c--------	
110	τοσοῦτος	p-s---na-	τοσοῦτος	τοσοῦτος	p-s---na-	p-s---na-	
111	γε	g--------	γε	γε	d--------	g--------	
112	δέω	v3saip---	δέω2	δέω	v3saip---	v3saip---	
113	δανείζω	v--anm---	δανείζω	δανείζω	v--anm---	v--anm---	
114	,	u--------	,	,	u--------	u--------	
115	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
116	ἐναντίον	r--------	ἐναντίον	ἐναντίον	r--------	r--------	
117	δίδωμι	v3saip---	δίδωμι	δίδωμι	v3saip---	v3saip---	
118	,	u--------	,	,	u--------	u--------	
119	μάρτυς	n-p---ma-	μάρτυς	μάρτυς	n-p---ma-	n-p---ma-	
120	σύ	p-p---cd-	σύ	σύ	p-p---md-	p-p---cd-	
121	παρέχω	v1sfim---	παρέχω	παρέχω	v1sfim---	v1sfim---	
122	·	u--------	·	·	u--------	u--------	
123	ὅς	p-p---na-	ὅς	ὅς	p-p---na-	p-p---na-	
124	δέ	c--------	δέ	δέ	d--------	c--------	
125	χράω	v3saim---	χράω2	χράω	v3saim---	v3saim---	
126	αὐτός	p-s---md-	αὐτός	αὐτός	p-s---md-	p-s---md-	
127	καί	c--------	καί	καί	c--------	c--------	
128	ὅσος	p-p---na-	ὅσος	ὅσος	a-p---nn-	p-p---na-	
129	ὠφελέω	v3saip---	ὠφελέω	ὠφελέω	v3saip---	v3saip---	
130	,	u--------	,	,	u--------	u--------	
131	ὁ	l-p---mn-	ὁ	ὁ	l-p---mn-	l-p---mn-	
132	μάλα	d-------c	μᾶλλον	μάλα	d--------	d-------c	DISAGREE
133	τε	c--------	τε	τε	d--------	c--------	
134	ἐγώ	p-s---cg-	ἐγώ	ἐγώ	p1s---mg-	p-s---cg-	
135	οἶδα	v-prpamn-	οἶδα	οἶδα	v-prpamn-	v-prpamn-	
136	καί	c--------	καί	καί	c--------	c--------	
137	παραγίγνομαι	v-prpmmn-	παραγίγνομαι	παραγίγνομαι	v-prpemn-	v-prpmmn-	
138	ὅς	p-p---nd-	ὅς	ὅς	p-p---nd-	p-p---nd-	
139	ἐκεῖνος	p-s---mn-	ἐκεῖνος	ἐκεῖνος	p-s---mn-	p-s---mn-	
140	πράσσω	v3siia---	πράσσω	πράσσω	v3siia---	v3siia---	
141	διηγέομαι	v3pfim---	διηγέομαι	διηγέομαι	v3pfim---	v3pfim---	
142	σύ	p-p---cd-	σύ	σύ	p-p---md-	p-p---cd-	
143	καί	c--------	καί	καί	c--------	c--------	
144	μαρτυρέω	v3pfia---	μαρτυρέω	μαρτυρέω	v3pfia---	v3pfia---	
145	.	u--------	.	.	u--------	u--------	
146	καί	c--------	καί	καί	d--------	c--------	
147	ἐγώ	p-s---cd-	ἐγώ	ἐγώ	p1s---md-	p-s---cd-	
148	καλέω	v2spma---	καλέω	καλέω	v2spma---	v2spma---	
149	μάρτυς	n-p---ma-	μάρτυς	μάρτυς	n-p---ma-	n-p---ma-	
150	.	u--------	.	.	u--------	u--------	
151	μάρτυς	n-s---mv-	μάρτυς		n-s---mv-		oga_only
152	ἕως	c--------	ἕως		c--------		oga_only
153	τοίνυν	d--------	τοίνυν		d--------		oga_only
154	ὁ	l-s---mn-	ὁ		l-s---mn-		oga_only
155	ἔρατος	n-s---mn-	ἔρατος		n-s---mn-		oga_only
156	ζάω	v3siia---	ζάω		v3siia---		oga_only
157	,	u--------	,		u--------		oga_only
158	ὁ	l-p---ma-	ὁ		l-p---ma-		oga_only
159	τε	d--------	τε		d--------		oga_only
160	τόκος	n-p---ma-	τόκος		n-p---ma-		oga_only
161	ἀπολαμβάνω	v1piia---	ἀπολαμβάνω		v1piia---		oga_only
162	καί	c--------	καί		c--------		oga_only
163	ὁ	l-p---na-	ὁ		l-p---na-		oga_only
164	ἄλλος	p-p---na-	ἄλλος		p-p---na-		oga_only
165	ὁ	l-p---na-	ὁ		l-p---na-		oga_only
166	σύγκειμαι	v-pppena-	σύγκειμαι		v-pppena-		oga_only
167	·	u--------	·		u--------		oga_only
168	ἐπειδή	c--------	ἐπεί	ἐπειδή	c--------	c--------	DISAGREE
169	δέ	c--------	δέ	δέ	d--------	c--------	
170	τελευτάω	v3saia---	τελευτάω	τελευτάω	v3saia---	v3saia---	
171	καταλείπω	v-sapamn-	καταλιμπάνω	καταλείπω	v-sapamn-	v-sapamn-	DISAGREE
172	υἱός	n-p---ma-	υἱός	υἱός	n-p---ma-	n-p---ma-	
173	τρεῖς	m-p---ma-	τρεῖς	τρεῖς	a-p---ma-	m-p---ma-	
174	,	u--------	,	,	u--------	u--------	
175	Ἐρασιφών	n-s---ma-	ἐρασιφῶν	Ἐρασιφών	n-s---ma-	n-s---ma-	
176	καί	c--------	καί	καί	d--------	c--------	
177	Ἐράτων	n-s---ma-	ἐράτων	Ἐράτων	n-s---ma-	n-s---ma-	
178	καί	c--------	καί	καί	c--------	c--------	
179	Ἐρασίστρατος	n-s---ma-	ἐρασίστρατος	Ἐρασίστρατος	n-s---ma-	n-s---ma-	
180	,	u--------	,	,	u--------	u--------	
181	οὗτος	p-p---mn-	οὗτος	οὗτος	p-p---mn-	p-p---mn-	
182	οὐδείς	p-s---na-	οὐδείς	οὐδείς	p-s---na-	p-s---na-	
183	ἔτι	d--------	ἔτι	ἔτι	d--------	d--------	
184	ἐγώ	p-p---cd-	ἐγώ	ἐγώ	p1p---md-	p-p---cd-	
185	ὁ	l-p---ng-	ὁ	ὁ	l-p---ng-	l-p---ng-	
186	δίκαιος	a-p---ng-	δίκαιος	δίκαιος	a-p---ng-	a-p---ng-	
187	ποιέω	v3piia---	ποιέω	ποιέω	v3piia---	v3piia---	
188	.	u--------	.	.	u--------	u--------	
189	ἐν	r--------	ἐν	ἐν	r--------	r--------	
190	μέν	g--------	μέν	μέν	d--------	g--------	
191	οὖν	g--------	οὖν	οὖν	d--------	g--------	
192	ὁ	l-s---md-	ὁ	ὁ	l-s---md-	l-s---md-	
193	πόλεμος	n-s---md-	πόλεμος	πόλεμος	n-s---md-	n-s---md-	
194	,	u--------	,	,	u--------	u--------	
195	διότι	c--------	διότι	διότι	c--------	c--------	
196	οὐ	d--------	οὐ	οὐ	d--------	d--------	
197	εἰμί	v3piia---	εἰμί	εἰμί	v3piia---	v3piia---	
198	δίκη	n-p---fn-	δίκη	δίκη	n-p---fn-	n-p---fn-	
199	,	u--------	,	,	u--------	u--------	
200	οὐ	d--------	οὐ	οὐ	d--------	d--------	
201	δυνατός	a-p---mn-	δυνατός	δυνατός	a-p---mn-	a-p---mn-	
202	εἰμί	v1piia---	εἰμί	εἰμί	v1piia---	v1piia---	
203	παρά	r--------	παρά	παρά	r--------	r--------	
