token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	περί	r--------	περί	περί	r--------	r--------	
2	πολύς	a-s---mg-	πολύς	πολύς	a-s---ng-	a-s---mg-	
3	ἄν	g--------	ἄν	ἄν	d--------	g--------	
4	ποιέω	v1saom---	ποιέω	ποιέω	v1saom---	v1saom---	
5	,	u--------	,	,	u--------	u--------	
6	ὦ	i--------	ὦ	ὦ	i--------	i--------	
7	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
8	,	u--------	,	,	u--------	u--------	
9	ὁ	l-s---na-	ὁ	ὁ	l-s---na-	l-s---na-	
10	τοιοῦτος	p-p---ma-	τοιοῦτος	τοιοῦτος	a-p---ma-	p-p---ma-	
11	σύ	p2p---ca-	σύ	σύ	p-p---ma-	p2p---ca-	
12	ἐγώ	p1s---cd-	ἐγώ	ἐγώ	p-s---md-	p1s---cd-	
13	δικαστής	n-p---ma-	δικαστής	δικαστής	n-p---ma-	n-p---ma-	
14	περί	r--------	περί	περί	r--------	r--------	
15	οὗτος	p-s---ng-	οὗτος	οὗτος	a-s---ng-	p-s---ng-	
16	ὁ	l-s---ng-	ὁ	ὁ	l-s---ng-	l-s---ng-	
17	πρᾶγμα	n-s---ng-	πρᾶγμα	πρᾶγμα	n-s---ng-	n-s---ng-	
18	γίγνομαι	v--anm---	γίγνομαι	γίγνομαι	v--anm---	v--anm---	
19	,	u--------	,	,	u--------	u--------	
20	οἷος	p-p---mn-	οἷος	οἷος	a-p---mn-	p-p---mn-	
21	ἄν	g--------	ἄν	ἄν	d--------	g--------	
22	σύ	p2p---cd-	σύ	σύ	p-p---md-	p2p---cd-	
23	αὐτός	p-p---md-	αὐτός	αὐτός	a-p---md-	p-p---md-	
24	εἰμί	v2ppoa---	εἰμί	εἰμί	v2ppsa---	v2ppoa---	
25	τοιοῦτος	p-p---na-	τοιοῦτος	τοιοῦτος	p-p---na-	p-p---na-	
26	πάσχω	v-prpamn-	πάσχω	πάσχω	v-prpamn-	v-prpamn-	
27	·	u--------	·	·	u--------	u--------	
28	εὖ	d--------	εὖ	εὖ	d--------	d--------	
29	γάρ	g--------	γάρ	γάρ	d--------	g--------	
30	οἶδα	v3sria---	οἶδα	οἶδα	v1sria---	v3sria---	
31	ὅτι	c--------	ὅτι	ὅτι	c--------	c--------	
32	,	u--------	,	,	u--------	u--------	
33	εἰ	c--------	εἰ	εἰ	c--------	c--------	
34	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
35	αὐτός	p-s---fa-	αὐτός	αὐτός	a-s---fa-	p-s---fa-	
36	γνώμη	n-s---fa-	γνώμη	γνώμη	n-s---fa-	n-s---fa-	
37	περί	r--------	περί	περί	r--------	r--------	
38	ὁ	l-p---mg-	ὁ	ὁ	l-p---ng-	l-p---mg-	
39	ἄλλος	p-p---mg-	ἄλλος	ἄλλος	p-p---mg-	p-p---mg-	
40	ἔχω	v2ppoa---	ἔχω	ἔχω	v2ppoa---	v2ppoa---	
41	,	u--------	,	,	u--------	u--------	
42	ὅς	p-s---fa-	ὅς	ὅς	p-s---fa-	p-s---fa-	
43	περί	r--------	περί	περί	r--------	r--------	
44	σύ	p2p---cg-	σύ	σύ	p-p---mg-	p2p---cg-	
45	αὐτός	p-p---mg-	αὐτός	αὐτός	a-p---mg-	p-p---mg-	
46	,	u--------	,	,	u--------	u--------	
47	οὐ	d--------	οὐ	οὐ	d--------	d--------	
48	ἄν	g--------	ἄν	ἄν	d--------	g--------	
