token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	ἄλλος	p-p---ng-	ἄλλος	ἄλλος	a-p---ng-	p-p---ng-	
2	τε	c--------	τε	τε	d--------	c--------	
3	πολύς	a-p---ng-	πολύς	πολύς	a-p---ng-	a-p---ng-	
4	καί	c--------	καί	καί	c--------	c--------	
5	καλός	a-p---ng-	καλός	καλός	a-p---ng-	a-p---ng-	
6	ἔργον	n-p---ng-	ἔργον	ἔργον	n-p---ng-	n-p---ng-	
7	ἕνεκα	r--------	ἕνεκα	ἕνεκα	r--------	r--------	
8	,	u--------	,	,	u--------	u--------	
9	ὦ	i--------	ὦ	ὦ	i--------	i--------	
10	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
11	,	u--------	,	,	u--------	u--------	
12	ἄξιος	a-s---nn-	ἄξιος	ἄξιος	a-s---nn-	a-s---nn-	
13	Ἡρακλῆς	n-s---mg-	ἡρακλῆς	Ἡρακλῆς	n-s---mg-	n-s---mg-	
14	μιμνῄσκω	v--rnm---	μιμνήσκω	μιμνῄσκω	v--rne---	v--rnm---	
15	,	u--------	,	,	u--------	u--------	
16	καί	c--------	καί	καί	c--------	c--------	
17	ὅτι	c--------	ὅτι	ὅτι	c--------	c--------	
18	ὅδε	p-s---ma-	ὅδε	ὅδε	a-s---ma-	p-s---ma-	
19	ὁ	l-s---ma-	ὁ	ὁ	l-s---ma-	l-s---ma-	
20	ἀγών	n-s---ma-	ἀγών	ἀγών	n-s---ma-	n-s---ma-	
21	πρῶτος	a-s---mn-	πρῶτος	πρῶτος	a-s---mn-	a-s---mn-	
22	συναγείρω	v3saia---	συγκαλέω	συναγείρω	v3saia---	v3saia---	DISAGREE
23	διά	r--------	διά	διά	r--------	r--------	
24	εὔνοια	n-s---fa-	εὔνοια	εὔνοια	n-s---fa-	n-s---fa-	
25	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
26	Ἑλλάς	n-s---fg-	ἑλλάς	Ἑλλάς	n-s---fg-	n-s---fg-	
27	.	u--------		.		u--------	glaux_only
28	ἐν	r--------	ἐν	ἐν	r--------	r--------	
29	μέν	g--------	μέν	μέν	d--------	g--------	
30	γάρ	g--------	γάρ	γάρ	d--------	g--------	
31	ὁ	l-s---md-	ὁ	ὁ	l-s---md-	l-s---md-	
32	τέως	d--------	τέως	τέως	d--------	d--------	
