token_id	text
1	πολλάκις
2	ἐθαύμασα
3	τίσι
4	ποτὲ
5	λόγοις
6	Ἀθηναίους
7	ἔπεισαν
8	οἱ
9	γραψάμενοι
10	Σωκράτην
11	ὡς
12	ἄξιος
13	εἴη
14	θανάτου
15	τῇ
16	πόλει
17	.
18	ἡ
19	μὲν
20	γὰρ
21	γραφὴ
22	κατ’
23	αὐτοῦ
24	τοιάδε
25	τις
26	ἦν
27	·
28	ἀδικεῖ
29	Σωκράτης
30	οὓς
31	μὲν
32	ἡ
33	πόλις
34	νομίζει
35	θεοὺς
36	οὐ
37	νομίζων
38	,
39	ἕτερα
40	δὲ
41	καινὰ
42	δαιμόνια
43	εἰσφέρων
44	·
45	ἀδικεῖ
46	δὲ
47	καὶ
48	τοὺς
49	νέους
50	διαφθείρων
51	.
52	πρῶτον
53	μὲν
54	οὖν
55	,
56	ὡς
57	οὐκ
58	ἐνόμιζεν
59	οὓς
60	ἡ
61	πόλις
62	νομίζει
63	θεούς
64	,
65	ποίῳ
66	ποτ’
67	ἐχρήσαντο
68	τεκμηρίῳ
69	;
70	θύων
71	τε
72	γὰρ
73	φανερὸς
74	ἦν
75	πολλάκις
76	μὲν
77	οἴκοι
78	,
79	πολλάκις
80	δὲ
81	ἐπὶ
82	τῶν
83	κοινῶν
84	τῆς
85	πόλεως
86	βωμῶν
87	,
88	καὶ
89	μαντικῇ
90	χρώμενος
91	οὐκ
92	ἀφανὴς
93	ἦν
94	.
95	διετεθρύλητο
96	γὰρ
97	ὡς
98	φαίη
99	Σωκράτης
100	τὸ
101	δαιμόνιον
102	ἑαυτῷ
103	σημαίνειν
104	·
105	ὅθεν
106	δὴ
107	καὶ
108	μάλιστά
109	μοι
110	δοκοῦσιν
111	αὐτὸν
112	αἰτιάσασθαι
113	καινὰ
114	δαιμόνια
115	εἰσφέρειν
116	.
117	ὁ
118	δ’
119	οὐδὲν
120	καινότερον
121	εἰσέφερε
122	τῶν
123	ἄλλων
124	,
125	ὅσοι
126	μαντικὴν
127	νομίζοντες
128	οἰωνοῖς
129	τε
130	χρῶνται
131	καὶ
132	φήμαις
133	καὶ
134	συμβόλοις
135	καὶ
136	θυσίαις
137	.
138	οὗτοί
139	τε
140	γὰρ
141	ὑπολαμβάνουσιν
142	οὐ
143	τοὺς
144	ὄρνιθας
145	οὐ
146	δὲ
147	τοὺς
148	ἀπαντῶντας
149	εἰδέναι
150	τὰ
151	συμφέροντα
152	τοῖς
153	μαντευομένοις
154	,
155	ἀλλὰ
156	τοὺς
157	θεοὺς
158	διὰ
159	τούτων
160	αὐτὰ
161	σημαίνειν
162	,
163	κ
164	ἀκεῖνος
165	δὲ
166	οὕτως
167	ἐνόμιζεν
168	.
169	ἀλλ’
170	οἱ
171	μὲν
172	πλεῖστοί
173	φασιν
174	ὑπό
175	τε
176	τῶν
177	ὀρνίθων
178	καὶ
179	τῶν
180	ἀπαντώντων
181	ἀποτρέπεσθαί
182	τε
183	καὶ
184	προτρέπεσθαι
185	·
186	Σωκράτης
187	δ’
188	ὥσπερ
189	ἐγίγνωσκεν
190	,
191	οὕτως
192	ἔλεγε
193	·
194	τὸ
195	δαιμόνιον
196	γὰρ
197	ἔφη
198	σημαίνειν
199	.
200	καὶ
201	πολλοῖς
202	τῶν
203	συνόντων
204	προηγόρευε
205	τὰ
206	μὲν
207	ποιεῖν
208	,
209	τὰ
210	δὲ
211	μὴ
212	ποιεῖν
213	,
214	ὡς
215	τοῦ
216	δαιμονίου
217	προσημαίνοντος
218	·
219	καὶ
220	τοῖς
221	μὲν
222	πειθομένοις
223	αὐτῷ
224	συνέφερε
225	,
226	τοῖς
227	δὲ
228	μὴ
229	πειθομένοις
230	μετέμελε
231	.
232	καίτοι
233	τίς
234	οὐκ
235	ἂν
236	ὁμολογήσειεν
237	αὐτὸν
238	βούλεσθαι
239	μήτ’
240	ἠλίθιον
241	μήτ’
242	ἀλαζόνα
243	φαίνεσθαι
244	τοῖς
245	συνοῦσιν
246	;
247	ἐδόκει
248	δ’
249	ἂν
250	ἀμφότερα
251	ταῦτα
252	,
253	εἰ
254	προαγορεύων
255	ὡς
256	ὑπὸ
257	θεοῦ
258	φαινόμενα
259	καὶ
260	ψευδόμενος
261	ἐφαίνετο
262	.
263	δῆλον
264	οὖν
265	ὅτι
266	οὐκ
267	ἂν
268	προέλεγεν
269	,
270	εἰ
271	μὴ
272	ἐπίστευεν
273	ἀληθεύσειν
274	.
275	ταῦτα
276	δὲ
277	τίς
278	ἂν
279	ἄλλῳ
280	πιστεύσειεν
281	ἢ
282	θεῷ
283	;
284	πιστεύων
285	δὲ
286	θεοῖς
287	πῶς
288	οὐκ
289	εἶναι
290	θεοὺς
291	ἐνόμιζεν
292	;
293	ἀλλὰ
294	μὴν
295	ἐποίει
296	καὶ
297	τάδε
298	πρὸς
299	τοὺς
300	ἐπιτηδείους
301	.
302	τὰ
303	μὲν
304	γὰρ
305	ἀναγκαῖα
306	συνεβούλευε
307	καὶ
308	πράττειν
309	ὡς
310	ἐνόμιζεν
311	ἄριστ’
312	ἂν
313	πραχθῆναι
314	·
315	περὶ
316	δὲ
317	τῶν
318	ἀδήλων
319	ὅπως
320	ἀποβήσοιτο
321	μαντευσομένους
322	ἔπεμπεν
323	,
324	εἰ
325	ποιητέα
326	.
327	καὶ
328	τοὺς
329	μέλλοντας
330	οἴκους
331	τε
332	καὶ
333	πόλεις
334	καλῶς
335	οἰκήσειν
336	μαντικῆς
337	ἔφη
338	προσδεῖσθαι
339	·
340	τεκτονικὸν
341	μὲν
342	γὰρ
343	ἢ
344	χαλκευτικὸν
345	ἢ
346	γεωργικὸν
347	ἢ
348	ἀνθρώπων
349	ἀρχικὸν
350	ἢ
351	τῶν
352	τοιούτων
353	ἔργων
354	ἐξεταστικὸν
355	ἢ
356	λογιστικὸν
357	ἢ
358	οἰκονομικὸν
359	ἢ
360	στρατηγικὸν
361	γενέσθαι
362	,
363	πάντα
364	τὰ
365	τοιαῦτα
366	μαθήματα
367	καὶ
368	ἀνθρώπου
369	γνώμῃ
370	αἱρετὰ
371	ἐνόμιζεν
372	εἶναι
373	·
374	τὰ
375	δὲ
376	μέγιστα
377	τῶν
378	ἐν
379	τούτοις
380	ἔφη
381	τοὺς
382	θεοὺς
383	ἑαυτοῖς
384	καταλείπεσθαι
385	,
386	ὧν
387	οὐδὲν
388	δῆλον
389	εἶναι
390	τοῖς
391	ἀνθρώποις
392	.
393	οὔ
394	τε
395	γὰρ
396	τῷ
397	καλῶς
398	ἀγρὸν
399	φυτευσαμένῳ
400	δῆλον
401	ὅστις
402	καρπώσεται
403	,
404	οὔ
405	τε
406	τῷ
407	καλῶς
408	οἰκίαν
409	οἰκοδομησαμένῳ
410	δῆλον
411	ὅστις
412	ἐνοικήσει
413	,
414	οὔ
415	τε
416	τῷ
417	στρατηγικῷ
418	δῆλον
419	εἰ
420	συμφέρει
421	στρατηγεῖν
422	,
423	οὔ
424	τε
425	τῷ
426	πολιτικῷ
427	δῆλον
428	εἰ
429	συμφέρει
430	τῆς
431	πόλεως
432	προστατεῖν
433	,
434	οὔ
435	τε
436	τῷ
437	καλὴν
438	γήμαντι
439	,
440	ἵν’
441	εὐφραίνηται
442	,
443	δῆλον
444	εἰ
445	διὰ
446	ταύτην
447	ἀνιάσεται
448	,
449	οὔ
450	τε
451	τῷ
452	δυνατοὺς
453	ἐν
454	τῇ
455	πόλει
456	κηδεστὰς
457	λαβόντι
458	δῆλον
459	εἰ
460	διὰ
461	τούτους
462	στερήσεται
463	τῆς
464	πόλεως
465	.
466	τοὺς
467	δὲ
468	μηδὲν
469	τῶν
470	τοιούτων
471	οἰομένους
472	εἶναι
473	δαιμόνιον
474	,
475	ἀλλὰ
476	πάντα
477	τῆς
478	ἀνθρωπίνης
479	γνώμης
480	,
481	δαιμονᾶν
482	ἔφη
483	·
484	δαιμονᾶν
485	δὲ
486	καὶ
487	τοὺς
488	μαντευομένους
489	ἃ
490	τοῖς
491	ἀνθρώποις
492	ἔδωκαν
493	οἱ
494	θεοὶ
495	μαθοῦσι
496	διακρίνειν
497	(
498	οἷον
499	εἴ
500	τις
501	ἐπερωτῴη
502	πότερον
503	ἐπιστάμενον
504	ἡνιοχεῖν
505	ἐπὶ
506	ζεῦγος
507	λαβεῖν
508	κρεῖττον
509	ἢ
510	μὴ
511	ἐπιστάμενον
512	,
513	ἢ
514	πότερον
515	ἐπιστάμενον
516	κυβερνᾶν
517	ἐπὶ
518	τὴν
519	ναῦν
520	κρεῖττον
521	λαβεῖν
522	ἢ
523	μὴ
524	ἐπιστάμενον
525	)
526	,
527	ἢ
528	ἃ
529	ἔξεστιν
530	ἀριθμήσαντας
531	ἢ
532	μετρήσαντας
533	ἢ
534	στήσαντας
535	εἰδέναι
536	·
537	τοὺς
538	τὰ
539	τοιαῦτα
540	παρὰ
541	τῶν
542	θεῶν
543	πυνθανομένους
544	ἀθέμιτα
545	ποιεῖν
546	ἡγεῖτο
547	.
548	ἔφη
549	δὲ
550	δεῖν
551	,
552	ἃ
553	μὲν
554	μαθόντας
555	ποιεῖν
556	ἔδωκαν
557	οἱ
558	θεοί
559	,
560	μανθάνειν
561	,
562	ἃ
563	δὲ
564	μὴ
565	δῆλα
566	τοῖς
567	ἀνθρώποις
568	ἐστί
569	,
570	πειρᾶσθαι
571	διὰ
572	μαντικῆς
573	παρὰ
574	τῶν
575	θεῶν
576	πυνθάνεσθαι
577	·
578	τοὺς
579	θεοὺς
580	γὰρ
581	οἷς
582	ἂν
583	ὦσιν
584	ἵλεῳ
585	σημαίνειν
586	.
587	ἀλλὰ
588	μὴν
589	ἐκεῖνός
590	γε
591	ἀεὶ
592	μὲν
593	ἦν
594	ἐν
595	τῷ
596	φανερῷ
597	·
598	πρῴ
599	τε
600	γὰρ
601	εἰς
602	τοὺς
603	περιπάτους
604	καὶ
605	τὰ
606	γυμνάσια
607	ᾔει
608	καὶ
609	πληθούσης
610	ἀγορᾶς
611	ἐκεῖ
612	φανερὸς
613	ἦν
614	,
615	καὶ
616	τὸ
617	λοιπὸν
618	ἀεὶ
619	τῆς
620	ἡμέρας
621	ἦν
622	ὅπου
623	πλείστοις
624	μέλλοι
625	συνέσεσθαι
626	·
627	καὶ
628	ἔλεγε
629	μὲν
630	ὡς
631	τὸ
632	πολύ
633	,
634	τοῖς
635	δὲ
636	βουλομένοις
637	ἐξῆν
638	ἀκούειν
639	.
640	οὐδεὶς
641	δὲ
642	πώποτε
643	Σωκράτους
644	οὐδὲν
645	ἀσεβὲς
646	οὐ
647	δὲ
648	ἀνόσιον
649	οὔ
650	τε
651	πράττοντος
652	εἶδεν
653	οὔ
654	τε
655	λέγοντος
656	ἤκουσεν
657	.
658	οὐ
659	δὲ
660	γὰρ
661	περὶ
662	τῆς
663	τῶν
664	πάντων
665	φύσεως
666	,
667	ᾗπερ
668	τῶν
669	ἄλλων
670	οἱ
671	πλεῖστοι
672	,
673	διελέγετο
674	σκοπῶν
675	ὅπως
676	ὁ
677	καλούμενος
678	ὑπὸ
679	τῶν
680	σοφιστῶν
681	κόσμος
682	ἔχει
683	καὶ
684	τίσιν
685	ἀνάγκαις
686	ἕκαστα
687	γίγνεται
688	τῶν
689	οὐρανίων
690	,
691	ἀλλὰ
692	καὶ
693	τοὺς
694	φροντίζοντας
695	τὰ
696	τοιαῦτα
697	μωραίνοντας
698	ἀπεδείκνυε
699	.
700	καὶ
701	πρῶτον
702	μὲν
703	αὐτῶν
704	ἐσκόπει
705	πότερά
706	ποτε
707	νομίσαντες
708	ἱκανῶς
709	ἤδη
710	τ
711	ἀνθρώπινα
712	εἰδέναι
713	ἔρχονται
714	ἐπὶ
715	τὸ
716	περὶ
