0010	011	-	-	3	t_52	ἦν	v	-	-	v3siia---	Mood=i|Number=s|Person=3|Tense=i|Voice=a	εἰμί
0010	011	-	-	4	t_53	αὐτοὺς	p	-	-	p-p---ma-	Case=a|Gender=m|Number=p	αὐτός
0010	011	-	-	5	t_54	μᾶλλον	d	-	-	d--------	_	μᾶλλον
0010	011	-	-	6	t_55	ποιήσασθαι	v	-	-	v--anm---	Mood=n|Tense=a|Voice=m	ποιέω
0010	011	-	-	7	t_56	πρόνοιαν	n	-	-	n-s---fa-	Case=a|Gender=f|Number=s	πρόνοια
0010	011	-	-	8	t_57	·	u	-	-	u--------	_	·
0010	011	-	-	1	t_58	τῶν	l	-	-	l-p---mg-	Case=g|Gender=m|Number=p	ὁ
0010	011	-	-	2	t_59	μὲν	d	-	-	d--------	_	μέν
0010	011	-	-	3	t_60	γὰρ	d	-	-	d--------	_	γάρ
0010	011	-	-	4	t_61	ἀθλητῶν	n	-	-	n-p---mg-	Case=g|Gender=m|Number=p	ἀθλητής
0010	011	-	-	5	t_62	δὶς	d	-	-	d--------	_	δίς
0010	011	-	-	6	t_63	τοσαύτην	a	-	-	a-s---fa-	Case=a|Gender=f|Number=s	τοσοῦτος
0010	011	-	-	7	t_64	ῥώμην	n	-	-	n-s---fa-	Case=a|Gender=f|Number=s	ῥώμη
0010	011	-	-	8	t_65	λαβόντων	v	-	-	v-papamg-	Case=g|Gender=m|Mood=p|Number=p|Tense=a|Voice=a	λαμβάνω
0010	011	-	-	9	t_66	οὐδὲν	p	-	-	p-s---nn-	Case=n|Gender=n|Number=s	οὐδείς
0010	011	-	-	10	t_67	ἂν	d	-	-	d--------	_	ἄν
0010	011	-	-	11	t_68	πλέον	a	-	-	a-s---nnc	Case=n|Degree=c|Gender=n|Number=s	πλέος
0010	011	-	-	12	t_69	γένοιτο	v	-	-	v3saom---	Mood=o|Number=s|Person=3|Tense=a|Voice=m	γίγνομαι
0010	011	-	-	13	t_70	τοῖς	l	-	-	l-p---md-	Case=d|Gender=m|Number=p	ὁ
0010	011	-	-	14	t_71	ἄλλοις	p	-	-	p-p---md-	Case=d|Gender=m|Number=p	ἄλλος
0010	011	-	-	15	t_72	,	u	-	-	u--------	_	,
0010	011	-	-	16	t_73	ἑνὸς	a	-	-	a-s---mg-	Case=g|Gender=m|Number=s	εἷς
0010	011	-	-	17	t_74	δὲ	c	-	-	c--------	_	δέ
0010	011	-	-	18	t_75	ἀνδρὸς	n	-	-	n-s---mg-	Case=g|Gender=m|Number=s	ἀνήρ
0010	011	-	-	19	t_76	εὖ	d	-	-	d--------	_	εὖ
0010	011	-	-	20	t_77	φρονήσαντος	v	-	-	v-sapamg-	Case=g|Gender=m|Mood=p|Number=s|Tense=a|Voice=a	φρονέω
0010	011	-	-	21	t_78	ἅπαντες	a	-	-	a-p---mn-	Case=n|Gender=m|Number=p	ἅπας
0010	011	-	-	22	t_79	ἂν	d	-	-	d--------	_	ἄν
0010	011	-	-	23	t_80	ἀπολαύσειαν	v	-	-	v3paoa---	Mood=o|Number=p|Person=3|Tense=a|Voice=a	ἀπολαύω
0010	011	-	-	24	t_81	οἱ	l	-	-	l-p---mn-	Case=n|Gender=m|Number=p	ὁ
0010	011	-	-	25	t_82	βουλόμενοι	v	-	-	v-pppemn-	Case=n|Gender=m|Mood=p|Number=p|Tense=p|Voice=e	βούλομαι
