token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	δοκέω	v1spia---	δοκέω	δοκέω	v1spia---	v1spia---	
2	ἐγώ	p-s---cd-	ἐγώ	ἐγώ	p1s---cd-	p-s---cd-	
3	περί	r--------	περί	περί	r--------	r--------	
4	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
5	πυνθάνομαι	v2ppim---	πυνθάνομαι	πυνθάνομαι	v2ppie---	v2ppim---	
6	οὐ	d--------	οὐ	οὐ	d--------	d--------	
7	ἀμελέτητος	a-s---mn-	ἀμελέτητος	ἀμελέτητος	a-s---mn-	a-s---mn-	
8	εἰμί	v--pna---	εἰμί	εἰμί	v--pna---	v--pna---	
9	.	u--------	.	.	u--------	u--------	
10	καί	c--------	καί	καί	d--------	c--------	
11	γάρ	g--------	γάρ	γάρ	g--------	g--------	
12	τυγχάνω	v1siia---	τυγχάνω	τυγχάνω	v1siia---	v1siia---	
13	πρῴην	d--------	πρώιος	πρῴην	a-s---fa-	d--------	DISAGREE
14	εἰς	r--------	εἰς	εἰς	r--------	r--------	
15	ἄστυ	n-s---na-	ἄστυ	ἄστυ	n-s---na-	n-s---na-	
16	οἴκοθεν	d--------	οἴκοθεν	οἴκοθεν	d--------	d--------	
17	ἀνέρχομαι	v-sppamn-	ἄνειμι	ἀνέρχομαι	v-sppamn-	v-sppamn-	DISAGREE
18	Φαληρόθεν	d--------	φαληρόθεν	Φαληρόθεν	d--------	d--------	
19	·	u--------	·	·	u--------	u--------	
20	ὁ	l-p---mg-	ὁ	ὁ	l-p---mg-	l-p---mg-	
21	οὖν	g--------	οὖν	οὖν	d--------	g--------	
22	γνώριμος	a-p---mg-	γνώριμος	γνώριμος	a-p---mg-	a-p---mg-	
23	τις	p-s---cn-	τις	τις	p-s---mn-	p-s---cn-	
24	ὄπισθεν	d--------	ὄπισθεν	ὄπισθεν	d--------	d--------	
25	κατοράω	v-sapamn-	κατεῖδον	κατοράω	v-sapamn-	v-sapamn-	DISAGREE
26	ἐγώ	p-s---ca-	ἐγώ	ἐγώ	p1s---ca-	p-s---ca-	
27	πρόσωθεν	d--------	πρόσωθεν	πρόσωθεν	d--------	d--------	
28	καλέω	v3saia---	καλέω	καλέω	v3saia---	v3saia---	
29	,	u--------	,	,	u--------	u--------	
30	καί	c--------	καί	καί	c--------	c--------	
31	παίζω	v-sppamn-	παίζω	παίζω	v-sppamn-	v-sppamn-	
32	ἅμα	d--------	ἅμα	ἅμα	r--------	d--------	
