token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	ἐπιτήδειος	a-s---ma-	ἐπιτήδειος	ἐπιτήδειος	a-s---ma-	a-s---ma-	
2	ἐγώ	p-s---cd-	ἐγώ	ἐγώ	p1s---md-	p-s---cd-	
3	δοκέω	v1spia---	δοκέω	δοκέω	v1spia---	v1spia---	
4	καιρός	n-s---ma-	καιρός	καιρός	n-s---ma-	n-s---ma-	
5	λαμβάνω	v--rna---	λαμβάνω	λαμβάνω	v--rna---	v--rna---	
6	περί	r--------	περί	περί	r--------	r--------	
7	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
8	λέγω	v--ana---	εἶπον	λέγω	v--ana---	v--ana---	DISAGREE
9	βούλομαι	v1siim---	βούλομαι	βούλομαι	v1siie---	v1siim---	
10	πάλαι	d--------	πάλαι	πάλαι	d--------	d--------	
11	·	u--------	·	·	u--------	u--------	
12	πάρειμι	v3spia---	πάρειμι1	πάρειμι	v3ppia---	v3spia---	
13	μέν	g--------	μέν	μέν	d--------	g--------	
14	γάρ	g--------	γάρ	γάρ	d--------	g--------	
15	ὅς	p-p---nd-	ὅς	ὅς	p-p---md-	p-p---nd-	
16	ἐπεγκαλέω	v1spia---	ἐπεγκαλέω	ἐπεγκαλέω	v1spia---	v1spia---	
17	,	u--------	,	,	u--------	u--------	
18	πάρειμι	v3spia---	πάρειμι1	πάρειμι	v3ppia---	v3spia---	
19	δέ	c--------	δέ	δέ	c--------	c--------	
20	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
21	ἐναντίον	r--------	ἐναντίον	ἐναντίον	r--------	r--------	
22	ἐπιθυμέω	v1spia---	ἐπιθυμέω	ἐπιθυμέω	v1spia---	v1spia---	
23	μέμφομαι	v--anm---	μέμφομαι	μέμφομαι	v--anm---	v--anm---	
24	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
25	ἀδικέω	v-pppamd-	ἀδικέω	ἀδικέω	v-pppamd-	v-pppamd-	
26	ἐγώ	p-s---ca-	ἐγώ	ἐγώ	p1s---ca-	p-s---ca-	
27	.	u--------	.	.	u--------	u--------	
28	καίτοι	g--------	καίτοι	καίτοι	d--------	g--------	
29	πολύς	a-s---nd-	πολύς	πολύς	a-s---nd-	a-s---nd-	
30	πολύς	a-s---fnc	πλείων	πολύς	a-s---fnc	a-s---fnc	DISAGREE
31	εἰμί	v3spia---	εἰμί	εἰμί	v3spia---	v3spia---	
32	σπουδή	n-s---fn-	σπουδή	σπουδή	n-s---fn-	n-s---fn-	
33	πρός	r--------	πρός	πρός	r--------	r--------	
34	ὁ	l-p---ma-	ὁ	ὁ	l-p---ma-	l-p---ma-	
35	πάρειμι	v-pppama-	πάρειμι1	πάρειμι	v-pppama-	v-pppama-	
36	·	u--------	·	·	u--------	u--------	
37	ὁ	l-p---ma-	ὁ	ὁ	l-p---ma-	l-p---ma-	
38	μέν	g--------	μέν	μέν	d--------	g--------	
39	γάρ	g--------	γάρ	γάρ	d--------	g--------	
40	παρά	r--------	παρά	παρά	r--------	r--------	
41	οὐδείς	p-s---na-	οὐδείς	οὐδείς	p-s---na-	p-s---na-	
42	οἴομαι	v1spim---	οἴομαι	οἴομαι	v1spie---	v1spim---	
43	τιμάω	v--fna---	τιμάω	τιμάω	v--fna---	v--fna---	
44	,	u--------	,	,	u--------	u--------	
45	εἰ	c--------	εἰ	εἰ	c--------	c--------	
46	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
47	ἐπιτήδειος	a-p---md-	ἐπιτήδειος	ἐπιτήδειος	a-p---md-	a-p---md-	
48	ἀνεπιτήδειος	a-p---mn-	ἀνεπιτήδειος	ἀνεπιτήδειος	a-p---mn-	a-p---mn-	
49	δοκέω	v3pfia---	δοκέω	δοκέω	v3pfia---	v3pfia---	
50	εἰμί	v--pna---	εἰμί	εἰμί	v--pna---	v--pna---	
51	(	u--------	̔	(	u--------	u--------	DISAGREE
52	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
53	γάρ	g--------	γάρ	γάρ	d--------	g--------	
54	ἀρχή	n-s---fa-	ἀρχή	ἀρχή	n-s---fa-	n-s---fa-	
55							unmatched
56	ἄν	g--------	ἄν	ἄν	d--------	g--------	
57	ἐπιχειρέω	v3piia---	ἐπιχειρέω	ἐπιχειρέω	v1siia---	v3piia---	
58	ἐξαμαρτάνω	v--pna---	ἐξαμαρτάνω	ἐξαμαρτάνω	v--pna---	v--pna---	
59	εἰς	r--------	εἰς	εἰς	r--------	r--------	
60	ἐγώ	p-s---ca-	ἐγώ	ἐγώ	p-s---ma-	p-s---ca-	
61	)	u--------	)	)	u--------	u--------	
62	,	u--------	,	,	u--------	u--------	
63	ὁ	l-p---md-	ὁ	ὁ	l-p---md-	l-p---md-	
64	δέ	c--------	δέ	δέ	c--------	c--------	
65	βούλομαι	v1spom---	βούλομαι	βούλομαι	v1spoe---	v1spom---	
66	ἄν	g--------	ἄν	ἄν	d--------	g--------	
67	δοκέω	v--ana---	δοκέω	δοκέω	v--ana---	v--ana---	
68	μηδείς	p-s---na-	μηδείς	μηδείς	p-s---na-	p-s---na-	
69	ἀδικέω	v-sppamn-	ἀδικέω	ἀδικέω	v-sppamn-	v-sppamn-	
70	οὗτος	p-p---ma-	οὗτος	οὗτος	p-p---ma-	p-p---ma-	
71	ὑπό	r--------	ὑπό	ὑπό	r--------	r--------	
72	οὗτος	p-p---mg-	οὗτος	οὗτος	p-p---mg-	p-p---mg-	
73	ἀδικέω	v--pnm---	ἀδικέω	ἀδικέω	v--pne---	v--pnm---	
74	πρότερος	d-------c	πρότερος	πρότερος	a-s---na-	d-------c	
75	.	u--------	.	.	u--------	u--------	
