0014	018	-	-	1	t_1	πρῶτον	a	-	-	a-s---na-	Case=a|Gender=n|Number=s	πρῶτος
0014	018	-	-	2	t_2	μέν	d	-	-	d--------	_	μέν
0014	018	-	-	3	t_3	,	u	-	-	u--------	_	,
0014	018	-	-	4	t_4	ὦ	i	-	-	i--------	_	ὦ
0014	018	-	-	5	t_5	ἄνδρες	n	-	-	n-p---mv-	Case=v|Gender=m|Number=p	ἀνήρ
0014	018	-	-	6	t_6	Ἀθηναῖοι	a	-	-	a-p---mv-	Case=v|Gender=m|Number=p	ἀθηναῖος
0014	018	-	-	7	t_7	,	u	-	-	u--------	_	,
0014	018	-	-	8	t_8	τοῖς	l	-	-	l-p---md-	Case=d|Gender=m|Number=p	ὁ
0014	018	-	-	9	t_9	θεοῖς	n	-	-	n-p---md-	Case=d|Gender=m|Number=p	θεός
0014	018	-	-	10	t_10	εὔχομαι	v	-	-	v1spie---	Mood=i|Number=s|Person=1|Tense=p|Voice=e	εὔχομαι
0014	018	-	-	11	t_11	πᾶσι	a	-	-	a-p---md-	Case=d|Gender=m|Number=p	πᾶς
0014	018	-	-	12	t_12	καὶ	c	-	-	c--------	_	καί
0014	018	-	-	13	t_13	πάσαις	a	-	-	a-p---fd-	Case=d|Gender=f|Number=p	πᾶς
0014	018	-	-	14	t_14	,	u	-	-	u--------	_	,
0014	018	-	-	15	t_15	ὅσην	a	-	-	a-s---fa-	Case=a|Gender=f|Number=s	ὅσος
0014	018	-	-	16	t_16	εὔνοιαν	n	-	-	n-s---fa-	Case=a|Gender=f|Number=s	εὔνοια
0014	018	-	-	17	t_17	ἔχων	v	-	-	v-sppamn-	Case=n|Gender=m|Mood=p|Number=s|Tense=p|Voice=a	ἔχω
0014	018	-	-	18	t_18	ἐγὼ	p	-	-	p1s---mn-	Case=n|Gender=m|Number=s|Person=1	ἐγώ
0014	018	-	-	19	t_19	διατελῶ	v	-	-	v1spia---	Mood=i|Number=s|Person=1|Tense=p|Voice=a	διατελέω
0014	018	-	-	20	t_20	τῇ	l	-	-	l-s---fd-	Case=d|Gender=f|Number=s	ὁ
0014	018	-	-	21	t_21	τε	d	-	-	d--------	_	τε
0014	018	-	-	22	t_22	πόλει	n	-	-	n-s---fd-	Case=d|Gender=f|Number=s	πόλις
0014	018	-	-	23	t_23	καὶ	c	-	-	c--------	_	καί
0014	018	-	-	24	t_24	πᾶσιν	a	-	-	a-p---md-	Case=d|Gender=m|Number=p	πᾶς
0014	018	-	-	25	t_25	ὑμῖν	p	-	-	p-p---md-	Case=d|Gender=m|Number=p	σύ
0014	018	-	-	26	t_26	,	u	-	-	u--------	_	,
0014	018	-	-	27	t_27	τοσαύτην	p	-	-	p-s---fa-	Case=a|Gender=f|Number=s	τοσοῦτος
0014	018	-	-	28	t_28	ὑπάρξαι	v	-	-	v--ana---	Mood=n|Tense=a|Voice=a	ὑπάρχω
0014	018	-	-	29	t_29	μοι	p	-	-	p1s---md-	Case=d|Gender=m|Number=s|Person=1	ἐγώ
0014	018	-	-	30	t_30	παρʼ	r	-	-	r--------	_	παρά
0014	018	-	-	31	t_31	ὑμῶν	p	-	-	p-p---mg-	Case=g|Gender=m|Number=p	σύ
0014	018	-	-	32	t_32	εἰς	r	-	-	r--------	_	εἰς
0014	018	-	-	33	t_33	τουτονὶ	a	-	-	a-s---ma-	Case=a|Gender=m|Number=s	οὗτος
0014	018	-	-	34	t_34	τὸν	l	-	-	l-s---ma-	Case=a|Gender=m|Number=s	ὁ
0014	018	-	-	35	t_35	ἀγῶνα	n	-	-	n-s---ma-	Case=a|Gender=m|Number=s	ἀγών
0014	018	-	-	36	t_36	,	u	-	-	u--------	_	,
0014	018	-	-	37	t_37	ἔπειθʼ	c	-	-	c--------	_	ἔπειτα
0014	018	-	-	38	t_38	ὅπερ	p	-	-	p-s---nn-	Case=n|Gender=n|Number=s	ὅσπερ
0014	018	-	-	39	t_39	ἐστὶ	v	-	-	v3spia---	Mood=i|Number=s|Person=3|Tense=p|Voice=a	εἰμί
0014	018	-	-	40	t_40	μάλισθʼ	d	-	-	d--------	_	μάλα
0014	018	-	-	41	t_41	ὑπὲρ	r	-	-	r--------	_	ὑπέρ
0014	018	-	-	42	t_42	ὑμῶν	p	-	-	p-p---mg-	Case=g|Gender=m|Number=p	σύ
0014	018	-	-	43	t_43	καὶ	c	-	-	c--------	_	καί
0014	018	-	-	44	t_44	τῆς	l	-	-	l-s---fg-	Case=g|Gender=f|Number=s	ὁ
0014	018	-	-	45	t_45	ὑμετέρας	a	-	-	a-s---fg-	Case=g|Gender=f|Number=s	ὑμέτερος
0014	018	-	-	46	t_46	εὐσεβείας	n	-	-	n-s---fg-	Case=g|Gender=f|Number=s	εὐσέβεια
0014	018	-	-	47	t_47	τε	d	-	-	d--------	_	τε
0014	018	-	-	48	t_48	καὶ	c	-	-	c--------	_	καί
0014	018	-	-	49	t_49	δόξης	n	-	-	n-s---fg-	Case=g|Gender=f|Number=s	δόξα
0014	018	-	-	50	t_50	,	u	-	-	u--------	_	,
0014	018	-	-	51	t_51	τοῦτο	p	-	-	p-s---na-	Case=a|Gender=n|Number=s	οὗτος
0014	018	-	-	52	t_52	παραστῆσαι	v	-	-	v--ana---	Mood=n|Tense=a|Voice=a	παρίστημι
0014	018	-	-	53	t_53	τοὺς	l	-	-	l-p---ma-	Case=a|Gender=m|Number=p	ὁ
0014	018	-	-	54	t_54	θεοὺς	n	-	-	n-p---ma-	Case=a|Gender=m|Number=p	θεός
