token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	δέω	v3saia---	δέω		v3saia---		oga_only
2	ὁ	l-s---ma-	ὁ	ὁ	l-s---ma-	l-s---ma-	
3	ἵππος	n-s---ma-	ἵππος	ἵππος	n-s---ma-	n-s---ma-	
4	ἐκ	r--------	ἐκ	ἐκ	r--------	r--------	
5	ὁ	l-s---ng-	ὁ	ὁ	l-s---ng-	l-s---ng-	
6	ῥόπτρον	n-s---ng-	ῥόπτρον	ῥόπτρον	n-s---ng-	n-s---ng-	
7	ὁ	l-s---ng-	ὁ	ὁ	l-s---ng-	l-s---ng-	
8	ἱερός	a-s---ng-	ἱερόν	ἱερός	n-s---ng-	a-s---ng-	DISAGREE
9	ὡς	c--------	ὡς	ὡς	d--------	c--------	
10	ἀποδίδωμι	v-sppamn-	ἀποδίδωμι	ἀποδίδωμι	v-sppamn-	v-sppamn-	
11	,	u--------	,	,	u--------	u--------	
12	ὁ	l-s---fd-	ὁ	ὁ	l-s---fd-	l-s---fd-	
13	δέ	c--------	δέ	δέ	c--------	c--------	
14	ἐπέρχομαι	v-sppafd-	ἐπέρχομαι	ἐπέρχομαι	v-sppafd-	v-sppafd-	
15	ὑφαιρέω	v3saim---	ὑφαιρέω	ὑφαιρέω	v3saim---	v3saim---	
16	.	u--------	.	.	u--------	u--------	
17	οὗτος	p-s---mn-	οὗτος	οὗτος	p-s---mn-	p-s---mn-	
18	οὖν	g--------	οὖν	οὖν	d--------	g--------	
19	ὁ	l-s---mn-	ὁ	ὁ	l-s---mn-	l-s---mn-	
20	οὗτος	p-p---na-	οὗτος	οὗτος	p-p---na-	p-p---na-	
21	ποιέω	v-sapamn-	ποιέω	ποιέω	v-sapamn-	v-sapamn-	
22	θάνατος	n-s---md-	θάνατος	θάνατος	n-s---md-	n-s---md-	
23	ὁ	l-s---md-	ὁ	ὁ	l-s---md-	l-s---md-	
24	ἄλγιστος	a-s---md-	ἀλγίων	ἄλγιστος	a-s---mds	a-s---md-	DISAGREE
25	ἀπόλλυμι	v3saim---	ἀπόλλυμι	ἀπόλλυμι	v3saim---	v3saim---	
26	,	u--------	,	,	u--------	u--------	
27	λιμός	n-s---md-	λιμός	λιμός	n-s---md-	n-s---md-	
28	·	u--------	·	·	u--------	u--------	
29	πολύς	a-p---ng-	πολύς	πολύς	a-p---ng-	a-p---ng-	
30	γάρ	g--------	γάρ	γάρ	d--------	g--------	
31	καί	c--------	καί	καί	d--------	c--------	
32	ἀγαθός	a-p---ng-	ἀγαθός	ἀγαθός	a-p---ng-	a-p---ng-	
33	αὐτός	p-s---md-	αὐτός	αὐτός	p-s---md-	p-s---md-	
34	ἐπί	r--------	ἐπί	ἐπί	r--------	r--------	
35	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
36	τράπεζα	n-s---fa-	τράπεζα	τράπεζα	n-s---fa-	n-s---fa-	
37	παρατίθημι	v-pppmng-	παρατίθημι	παρατίθημι	v-pppeng-	v-pppmng-	
38	ὄζω	v--pna---	ὄζω	ὄζω	v--pna---	v--pna---	
39	δοκέω	v3siia---	δοκέω	δοκέω	v3siia---	v3siia---	
40	ὁ	l-s---mg-	ὁ	ὁ	l-s---mg-	l-s---mg-	
41	ἄρτος	n-s---mg-	ἄρτος	ἄρτος	n-s---mg-	n-s---mg-	
42	καί	c--------	καί	καί	c--------	c--------	
